Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,WEIGHT_GREEDY,100,3971.0294,3.0855,786.3803,0.4897,24.3937,0.0152,1618,1287,79.5426,20.2719,0,0.1854,331,328,0,3,0,828,633,458,360,332,294,2898.0,828.0,2898.0,9165.85000000014,0.0,0.0,915.5866526235063,0.074,0,0.0446,0.0943,195.063,173.5401,162.9812,191.3474,178.7947,180.8955,167.0934,192.3598,172.3598,32084494452146870000,225947144029203296,19866560032289084,13637718724422783000,757651040245710210,1229001185675883010,51208382736495128,17217774542048203000,172177745420482016,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,200,8173.1734,3.0497,1822.5211,0.5735,48.0261,0.0151,3282,2680,81.6575,18.1901,0,0.1523,602,597,0,5,0,1420,1114,745,579,1117,987,5452.0,1432.0,5452.0,17928.44999999925,0.0,0.0,869.4442908659581,0.2049,0.0064,0.0705,0.2389,197.3719,173.5337,162.2171,193.7659,181.2132,183.164,169.3619,194.5828,171.5725,54599189414007170000,225616485181847808,16661333357951532,23800699215651050000,1322261067536169470,2072053594632105220,86335566443004384,28726436603724014000,143632183018620064,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,300,12408.6777,3.0906,3084.1278,0.6648,89.0397,0.0192,4806,4015,83.5414,16.2713,0,0.1873,791,782,0,9,0,1788,1406,939,751,2079,1858,7647.0,1810.0,7647.0,28641.999999998137,0.0,0.0,865.087094595919,0.3009,0.0027,0.1141,0.3337,198.3054,172.9652,161.4957,194.6684,182.1157,183.6056,169.8034,195.5752,170.8039,67692797063780920000,197932155157254144,14111485733537818,29298324208154200000,1627684678230788860,2293798599314253820,95574941638093904,36100674256312467000,120335580854374896,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,400,15372.799,2.9326,4031.2006,0.6575,292.6916,0.0477,6470,5243,81.0355,18.609,0,0.3555,1227,1204,0,23,0,2244,1670,1064,812,3162,2761,9746.0,2259.0,9746.0,31686.74999999725,0.0,0.0,853.7731129250704,0.3442,0.0393,0.1386,0.3703,196.7168,170.2626,158.6219,192.737,180.1843,183.1767,169.3746,194.1658,168.1452,46954550773139390000,106232015323844768,7280904136011690,18780221520569962000,1043345640031664640,2078136215704462590,86589008987685936,26096193036864963000,65240482592162408,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,500,19089.18,2.8884,5038.3513,0.6565,233.5448,0.0304,8186,6609,80.7354,18.9958,0,0.2688,1577,1555,0,22,0,2470,1921,1255,910,4461,3778,12073.0,2533.0,12073.0,39114.89999999867,0.0,0.0,867.1298887728287,0.3824,0.0022,0.1326,0.4081,196.4762,169.1362,157.3571,192.7125,180.1598,181.039,167.2369,193.8879,166.8982,44423757599892250000,81962652398325184,5441420578134769,18674515926463800000,1037473107025766660,1270285446895218180,52928560287300760,24478956226533233000,48957912453066464,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,600,24160.7725,3.0318,6136.5295,0.6641,1188.5039,0.1286,9864,7969,80.7887,19.0187,0,0.1926,1895,1876,0,19,0,2676,2082,1363,984,5825,4903,14623.0,2840.0,14623.0,47111.500000001906,0.0,0.0,871.6457764056663,0.4106,0.0558,0.134,0.4324,198.0268,169.9514,158.0937,194.5217,181.969,180.9673,167.1652,195.3035,167.522,63486079021085770000,98887973553093104,6447250839959964,28324892376253800000,1573605132014099970,1249484593692079620,52061858070503320,33911702051139895000,56519503418566496,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,700,30733.6903,3.3751,7724.0583,0.7344,4292.1134,0.4081,11386,9106,79.9754,19.8226,0,0.202,2280,2257,0,23,0,2752,2040,1387,1017,7247,6049,16417.0,2949.0,16417.0,54421.900000003334,0.0,0.0,880.4174296716734,0.4682,0.0871,0.1614,0.4886,198.178,169.474,157.6216,194.6401,182.0874,180.9258,167.1237,195.4888,167.0378,65735706295362360000,88592596085394016,5783030377000296,29107966634359830000,1617109257464434940,1237599884598352130,51566661858264672,35390139776404180000,50557342537720256,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,800,37864.465,3.6687,8618.6592,0.727,8522.4492,0.7189,13192,10321,78.2368,21.5661,0,0.1971,2871,2845,0,26,0,3209,2307,1501,1063,8482,6951,18365.0,3386.0,18365.0,61998.00000000689,0.0,0.0,868.0997604458182,0.5168,0.1066,0.1793,0.5362,197.9601,168.707,156.7629,194.4035,181.8507,181.409,167.6068,195.2597,166.2288,62518951843063110000,74250536630716288,4745631686888046,27564281523788304000,1531348973543794690,1383232754902758660,57634698120948280,33571437564372050000,41964296955465064,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,900,45496.0622,3.986,9837.5918,0.7513,12879.6185,0.9836,14846,11414,76.8827,22.7603,0,0.357,3432,3379,0,53,0,3260,2231,1567,1024,10019,8159,20435.0,3482.0,20435.0,68850.90000001054,0.0,0.0,883.025899883842,0.5722,0.1208,0.1793,0.5917,197.7338,167.9933,156.0259,194.0824,181.5297,181.3951,167.593,195.1009,165.5584,59344833017018760000,62998761164563440,4004915171886810.5,25600227859859366000,1422234881103298050,1378822264574597890,57450927690608248,32365782892584792000,35961980991760880,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,1000,58189.0455,4.5793,12010.9269,0.8283,20315.097,1.401,16346,12707,77.7377,21.8647,0,0.3977,3639,3574,0,65,0,3331,2269,1571,1079,11444,9359,22586.0,3613.0,22586.0,81724.95000001563,0.0,0.0,890.4490571502241,0.6659,0.1097,0.1986,0.6872,197.8443,167.6656,155.7203,194.1221,181.5694,181.5348,167.7327,195.2652,165.2652,60873182341785090000,58419560788661320,3732719054561264,25835286560050120000,1435293697780562180,1423913484795769860,59329728533157080,33613982296939200000,33613982296939200,0,0,0,-1.0,[],[]
