Orchestration algorithm,Edge devices count,Average ETE delay (s),Average execution delay (s),Average energy consumption (W/Data center),Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(mobility)(%),Total tasks executed (Cloud),Total tasks executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Cloud),Tasks successfully executed (Edge),Tasks successfully executed (Mist)
TASK_CLF_Q_LEARNING,100,1.5098,1.1877,37487909952753176,100,0,0,41,0,1645,41,0,1645
TASK_CLF_Q_LEARNING,200,1.627,1.3,27066685629715824,99.9084,0.0611,0.0305,60,0,3216,59,0,3214
TASK_CLF_Q_LEARNING,300,1.6076,1.263,31850979877012664,99.7164,0.2836,0,92,0,4844,92,0,4830
TASK_CLF_Q_LEARNING,400,1.6438,1.2815,24905971011003808,97.8268,2.1732,0,106,0,6428,106,0,6286
TASK_CLF_Q_LEARNING,500,1.7415,1.351,42470174866318344,96.9708,3.0168,0.0124,197,0,7891,197,0,7646
TASK_CLF_Q_LEARNING,600,1.7157,1.2034,58848712230672336,96.332,3.5963,0.0717,309,0,9451,303,0,9099
TASK_CLF_Q_LEARNING,700,2.0026,1.2151,24115970404952264,94.8932,5.0808,0.0261,157,0,11357,156,0,10770
TASK_CLF_Q_LEARNING,800,2.5027,1.2991,89731433482408976,92.3816,7.4646,0.1538,560,0,12448,540,0,11477
TASK_CLF_Q_LEARNING,900,2.7578,1.3119,67067710245184208,90.9806,8.8815,0.1379,501,0,14001,482,0,12712
TASK_CLF_Q_LEARNING,1000,2.9204,1.2139,86248166475372320,90.4434,9.3512,0.2054,667,0,15887,634,0,14338
WEIGHT_GREEDY,100,3.0855,0.4897,225947144029203296,79.5426,20.2719,0.1854,828,458,332,633,360,294
WEIGHT_GREEDY,200,3.0497,0.5735,225616485181847808,81.6575,18.1901,0.1523,1420,745,1117,1114,579,987
WEIGHT_GREEDY,300,3.0906,0.6648,197932155157254144,83.5414,16.2713,0.1873,1788,939,2079,1406,751,1858
WEIGHT_GREEDY,400,2.9326,0.6575,106232015323844768,81.0355,18.609,0.3555,2244,1064,3162,1670,812,2761
WEIGHT_GREEDY,500,2.8884,0.6565,81962652398325184,80.7354,18.9958,0.2688,2470,1255,4461,1921,910,3778
WEIGHT_GREEDY,600,3.0318,0.6641,98887973553093104,80.7887,19.0187,0.1926,2676,1363,5825,2082,984,4903
WEIGHT_GREEDY,700,3.3751,0.7344,88592596085394016,79.9754,19.8226,0.202,2752,1387,7247,2040,1017,6049
WEIGHT_GREEDY,800,3.6687,0.727,74250536630716288,78.2368,21.5661,0.1971,3209,1501,8482,2307,1063,6951
WEIGHT_GREEDY,900,3.986,0.7513,62998761164563440,76.8827,22.7603,0.357,3260,1567,10019,2231,1024,8159
