Orchestration algorithm,Edge devices count,Average ETE delay (s),Average execution delay (s),Average energy consumption (W/Data center),Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(mobility)(%),Total tasks executed (Cloud),Total tasks executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Cloud),Tasks successfully executed (Edge),Tasks successfully executed (Mist)
WEIGHT_GREEDY,1000,4.5793,0.8283,58419560788661320,77.7377,21.8647,0.3977,3331,1571,11444,2269,1079,9359
ROUND_ROBIN,100,3.4539,0.5434,440959806118598660,77.9326,21.7189,0.3484,934,384,404,712,307,323
ROUND_ROBIN,200,3.7234,0.7107,513117835423636350,78.2098,21.6998,0.0904,1542,576,1200,1227,456,912
ROUND_ROBIN,300,3.8183,0.7923,440401872417373570,77.6343,22.1197,0.246,1878,672,2328,1485,513,1789
ROUND_ROBIN,400,3.9926,0.9018,401048083331831940,76.6954,23.0888,0.2158,2126,785,3577,1675,580,2721
ROUND_ROBIN,500,4.069,0.9341,328495709676513150,74.6742,25.0184,0.3074,2354,865,4915,1802,651,3621
ROUND_ROBIN,600,4.2061,0.9404,245295304003538976,74.2819,25.382,0.3361,2605,960,6253,1949,756,4588
ROUND_ROBIN,700,4.6811,0.9693,415937049346480640,74.1087,25.4719,0.4194,2688,1056,7700,2144,813,5524
ROUND_ROBIN,800,5.0012,1.0017,353063882911849090,71.147,28.3141,0.5389,2862,1056,9072,2208,809,6225
ROUND_ROBIN,900,5.3305,0.9775,285413785348340704,69.8429,29.5544,0.6027,2936,1067,10763,2132,798,7383
ROUND_ROBIN,1000,5.7037,1.0252,301575032220133060,69.9396,29.4387,0.6216,3180,1152,12238,2327,836,8426
TRADE_OFF,100,3.3938,0.4385,543620049684777470,78.1369,21.7364,0.1267,976,482,120,763,375,95
TRADE_OFF,200,3.5836,0.5118,774796420946793600,79.8118,19.8543,0.3339,1932,875,487,1562,694,373
TRADE_OFF,300,3.6957,0.5646,673788127589390590,79.2126,20.563,0.2244,2592,1250,1060,2053,997,833
TRADE_OFF,400,3.6325,0.5481,557467443531012100,75.8441,23.9104,0.2455,3168,1546,1802,2425,1137,1380
TRADE_OFF,500,3.7547,0.5825,538629131815680510,75.7204,24.0772,0.2024,3757,1834,2807,2826,1347,2186
TRADE_OFF,600,3.9938,0.6795,514481573506997180,75.873,23.9432,0.1838,4226,2026,3542,3114,1508,2809
TRADE_OFF,700,4.3121,0.673,419509761928034940,74.202,25.3358,0.4622,4608,2220,4638,3339,1678,3491
TRADE_OFF,800,4.8522,0.7176,497097015528252860,73.2393,26.3523,0.4084,4896,2388,5694,3501,1734,4270
TRADE_OFF,900,5.2271,0.732,491992451078744060,71.5428,28.0165,0.4406,5306,2516,6930,3766,1776,5012
TRADE_OFF,1000,5.6923,0.7773,486423031261407870,72.3521,27.1196,0.5283,5472,2612,8004,3911,1836,5893
TRADI_POLLING,100,3.6062,0.6488,421584885772605060,78.4689,21.3517,0.1794,676,453,543,524,352,436
TRADI_POLLING,200,3.7613,0.7742,380782454157198020,76.902,22.7632,0.3348,978,949,1359,752,726,1049
TRADI_POLLING,300,3.8647,0.8153,348811215157937090,76.7289,22.9928,0.2782,1331,1134,2567,1023,867,1971
TRADI_POLLING,400,4.1185,1.0465,299784008551034880,74.8093,24.8398,0.3509,1453,1257,3844,1086,957,2860
TRADI_POLLING,500,4.2852,1.1396,308169905039140220,74.5304,25.2013,0.2684,1590,1382,5226,1242,1048,3820
TRADI_POLLING,600,4.6473,1.2752,349565173716064000,75.794,23.8701,0.3359,1770,1487,6567,1393,1132,4921
TRADI_POLLING,700,4.7233,1.148,271759739801765216,71.9339,27.7028,0.3633,1850,1717,7995,1378,1282,5657
TRADI_POLLING,800,5.3109,1.2469,274215510438404736,71.2044,28.4127,0.3829,1930,1845,9543,1423,1337,6723
TRADI_POLLING,900,5.6037,1.2671,240084805305415808,69.087,30.4855,0.4275,1812,1981,10709,1311,1425,7283
TRADI_POLLING,1000,6.0052,1.2832,259709110675651456,68.7508,30.7221,0.5272,1956,2112,12246,1416,1514,8286
RANDOM_VM,100,3.5015,0.5248,674340688731329660,79.5019,20.3065,0.1916,1062,329,175,845,257,143
RANDOM_VM,200,3.4875,0.5319,604688982716231940,77.5485,22.3301,0.1214,2084,545,667,1604,421,531
RANDOM_VM,300,3.7768,0.7017,685490304037903740,79.1632,20.5858,0.251,2726,721,1333,2177,578,1029
RANDOM_VM,400,3.7093,0.6867,554186865396566340,74.796,24.9773,0.2267,3369,947,2302,2526,713,1711
RANDOM_VM,500,3.9383,0.8376,609592059273632130,75.7371,24.0005,0.2624,3916,1048,3040,2981,782,2299
RANDOM_VM,600,4.0235,0.7963,545855100680230460,74.3278,25.3933,0.2788,4558,1179,4305,3441,877,3146
RANDOM_VM,700,4.5007,0.866,541961349893880510,73.8274,25.875,0.2975,4985,1293,5150,3711,970,3756
RANDOM_VM,800,4.8427,0.9045,493876265841343230,70.6864,29.0418,0.2718,5137,1359,6382,3764,929,4410
RANDOM_VM,900,5.3386,0.9784,467656633997093440,70.7386,28.8941,0.3672,5498,1398,7536,3922,1028,5259
RANDOM_VM,1000,5.8698,0.9919,472355828659885700,71.3382,28.2583,0.4035,5996,1493,9115,4352,1082,6411
