Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,DDLDO,1000,55199.2329,4.9307,4743.8396,0.3995,25957.7596,2.1863,12652,11195,88.484,10.8678,0,0.6481,1457,1375,0,82,0,5199,4522,1876,1502,5577,5171,17864.0,7038.0,17864.0,52125.44999999832,0.0,0.0,658.9845058329237,0.0593,0.1492,0.004,0.0591,205.4711,175.2925,164.4705,202.2009,189.6481,172.071,158.2689,202.7024,172.7024,352464052420440950000,338257248004261950,27993332731351040,165991308535331300000,9221739363073961000,161100912569664928,6712538023736039,186311642972539980000,186311642972539968,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,1000,45172.4614,3.7559,12212.9536,1.0111,30283.4647,2.5071,12628,12027,95.2407,4.593,0,0.1663,601,580,0,21,0,359,345,93,93,12176,11589,1854.0,484.0,1854.0,7437.100000000171,0.0,0.0,836.3222513051804,0.643,0.153,0,0.6673,196.5253,166.3466,155.5133,193.4942,180.9415,156.7669,142.9648,193.5347,163.5347,44928872306846200000,43117919680274664,3559004460301505.5,22357391647053230000,1242077313725179390,4749942995329768,197914291472073.66,22566730716797640000,22566730716797640,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,1000,64210.5126,5.803,8071.013,0.6796,28787.9707,2.424,12650,11065,87.4704,12.0553,0,0.4743,1585,1525,0,60,0,2698,2255,1211,1017,8741,7793,18955.0,3016.0,18955.0,48916.150000001144,0.0,0.0,886.1846015032442,0.3139,0.0799,0.1129,0.323,196.2853,166.1066,155.2761,192.4179,179.8652,179.2074,165.4053,193.8437,163.8437,42513880292572400000,40800268994791168,3369838323761287,17449765267435364000,969431403746409090,833182255482846720,34715927311785280,24230932769654180000,24230932769654180,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,1000,67104.72,6.5789,10275.1738,0.8889,23878.1092,2.0656,12624,10200,80.7985,18.3539,0,0.8476,2424,2317,0,107,0,2274,1913,864,712,9486,7575,24675.0,2892.0,24675.0,56825.90000000466,0.0,0.0,883.2807344348861,0.3514,0.074,0.0686,0.3632,202.0266,171.848,161.0319,196.8799,184.3272,188.7943,174.9922,200.1341,170.1341,159464308636337900000,153036764526236000,12682066855124694,48751636404336755000,2708424244685375500,7575779612283782100,315657483845157570,103136892619717380000,103136892619717376,0,0,0,-1.0,[],[]
ALL,TRADE_OFF,1000,65385.3961,6.3126,6860.8441,0.5891,23977.2223,2.0588,12670,10358,81.7522,17.4349,0,0.8129,2312,2209,0,103,0,4320,3482,2122,1744,6228,5132,25247.0,5343.0,25247.0,54741.05000000395,0.0,0.0,779.2113147411412,0.2068,0.0912,0.1691,0.2098,204.1149,173.9362,163.1064,199.5657,187.013,191.604,177.8019,201.8461,171.8461,257922344420820680000,247526242246468992,20447308103759368,90483183536364780000,5026843529798043600,14467612184319257000,602817174346635650,152971548700136640000,152971548700136640,0,0,0,-1.0,[],[]
ALL,TRADI_POLLING,1000,69627.1329,6.7737,12299.8396,1.0592,24541.0571,2.1134,12658,10279,81.2056,17.9886,0,0.8058,2379,2277,0,102,0,1544,1287,1663,1348,9451,7644,24231.0,1566.0,24231.0,55712.55000000471,0.0,0.0,944.5137438535601,0.3018,0.032,0.1177,0.3111,201.4672,171.2885,160.459,194.9991,182.4464,190.864,177.0619,199.8396,169.8396,140191065366093370000,134540369833103040,11114807370656732,31616207990135263000,1756455999451959040,12201258494951125000,508385770622963520,96373598881006980000,96373598881006976,0,0,0,-1.0,[],[]
ALL,RANDOM_VM,1000,72669.6189,6.7814,10141.9145,0.8612,26734.8692,2.2701,12646,10716,84.7383,14.4077,0,0.854,1930,1822,0,108,0,4526,3820,1189,1016,6931,5880,24911.0,5148.0,24911.0,63376.550000006086,0.0,0.0,823.0076317757095,0.2777,0.0906,0.1058,0.2852,204.9076,174.729,163.9032,200.6517,188.0989,189.7562,175.954,202.6465,172.6465,309573053824299300000,297095061251726780,24565390717687612,116189289270508830000,6454960515028268000,9453998834541507000,393916618105896130,183929765719248960000,183929765719248960,0,0,0,-1.0,[],[]
