Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TASK_CLF_Q_LEARNING,300,5549.5333,1.4577,4319.3515,1.1331,822.9031,0.2159,3812,3807,99.8688,0.1312,0,0,5,5,0,0,0,42,42,29,29,3741,3736,336.0,42.0,336.0,891.8999999999991,0.0,0.0,1020.4444444444446,0.7375,0,0,0.8407,186.3992,161.0589,150.5877,183.3525,170.7998,151.4924,137.6902,183.4222,158.651,4364348807988999200,12761253824529238,1144897378800891.8,2163956480056476160,120219804447582016,1410054001148308.5,58752250047846.19,2198982273931374590,7329940913104582,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,400,6643.5994,1.3171,5091.3184,1.0076,908.228,0.1797,5054,5044,99.8021,0.1979,0,0,10,10,0,0,0,73,73,43,43,4938,4928,507.0,73.0,507.0,1478.1999999999948,0.0,0.0,1022.9901380670611,0.6077,0,0,0.6715,188.3623,161.9081,151.326,185.3188,172.7661,153.2505,139.4483,185.3823,159.3617,6858542589775740900,15517064682750546,1357052352547633.8,3403168301447075300,189064905635948640,2113711267635979,88071302818165.8,3453260577061029900,8633151442652575,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,500,8975.0521,1.4215,6893.5584,1.0894,1294.3531,0.2045,6328,6314,99.7788,0.2212,0,0,14,14,0,0,0,71,71,49,49,6208,6194,612.0,71.0,612.0,1532.299999999991,0.0,0.0,1022.884531590414,0.7351,0,0,0.7968,188.436,161.096,150.4233,185.4033,172.8506,152.6438,138.8417,185.4456,158.4559,6975836071351887900,12870546257106804,1102376117470273,3470017470731846700,192778748373991488,1838154605890086,76589775245420.25,3503980446014151700,7007960892028303,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,600,11252.3975,1.491,8531.4982,1.1273,1841.0799,0.2433,7592,7547,99.4073,0.5664,0,0.0263,45,43,0,2,0,73,72,50,50,7469,7425,686.0,73.0,686.0,1590.5499999999897,0.0,0.0,1022.5072886297376,0.7061,0,0,0.7556,188.5455,160.4701,149.7431,185.4835,172.9308,153.612,139.8099,185.5835,157.802,7153988576668254200,11143284387333730,942554489679611.9,3534685918521173500,196371439917842976,2297211316679136.5,95717138194964.02,3617005446830402000,6028342411384003,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,700,14581.3085,1.6902,8469.7799,0.9779,4701.4813,0.5428,8868,8627,97.2824,2.6838,0,0.0338,241,238,0,3,0,86,85,116,115,8666,8427,1094.0,86.0,1094.0,2041.8999999999814,0.0,0.0,1015.6538695917125,0.6644,0.0056,0,0.7041,189.2898,160.5857,149.8125,186.2204,173.6676,156.4765,142.6744,186.3333,157.8823,8491341220263362600,11443856091999140,957742073117906.9,4188276985109582800,232682054728310144,4442700459625861,185112519151077.53,4298621534694153200,6140887906705933,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,800,23470.955,2.4269,10876.0881,1.1206,11373.1803,1.1718,10120,9671,95.5632,4.417,0,0.0198,449,447,0,2,0,91,91,69,69,9960,9511,939.0,91.0,939.0,2033.149999999978,0.0,0.0,1022.9094781682641,0.7114,0.0063,0,0.7486,190.0513,160.7982,150.0004,187.0148,174.4621,154.9746,141.1725,187.0644,158.0335,10118928927836758000,12017730318095912,1000091809432373.8,5029000995972522000,279388944220695680,3143824958263748,130992706594322.83,5086784106905972700,6358480133632466,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,900,34075.08,3.1414,11767.6388,1.0812,20902.1232,1.9204,11362,10847,95.4673,4.5151,0,0.0176,515,513,0,2,0,113,113,98,98,11151,10636,1188.0,113.0,1188.0,2656.3999999999874,0.0,0.0,1022.2760942760942,0.7244,0.0058,0,0.7581,190.8054,161.0648,150.2516,187.7699,175.2172,155.689,141.8869,187.8174,158.275,12037470798456504000,12778631420866778,1059636513948636,5983943884152778800,332441326897376580,3705925929881530.5,154413580411730.44,6049820988373845000,6722023320415383,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,1000,44267.3538,3.6951,13060.0047,1.085,28758.2944,2.3892,12650,11980,94.7036,5.1462,0,0.1502,670,651,0,19,0,288,272,139,139,12223,11569,1903.0,331.0,1903.0,6124.700000000108,0.0,0.0,937.0198459981261,0.7371,0.0782,0,0.7666,195.5787,165.4,154.5581,192.4739,179.9212,156.0742,142.2721,192.6599,162.6599,36129915631699780000,34673623446928772,2856345610854595.5,17676311298565794000,982017294364766340,4049670395063506.5,168736266460979.44,18449554662738920000,18449554662738920,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,100,3857.1376,3.3599,555.3777,0.4408,19.9471,0.0158,1266,1148,90.6793,9.2417,0,0.079,118,117,0,1,0,703,637,310,271,253,240,2280.0,703.0,2280.0,5750.150000000105,0.0,0.0,900.6208014208006,0.0481,0,0.0256,0.0621,193.6098,172.0869,162.5889,189.6343,177.0816,179.2556,165.4535,191.1144,171.1144,22960251818087770000,161691914211885696,18150396694140528,9192414889061919700,510689716058995520,842481174316039040,35103382263168292,12925355754709807000,129253557547098064,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,200,7545.4546,3.3065,1096.1484,0.4429,36.1634,0.0146,2518,2282,90.6275,9.0945,0,0.278,236,229,0,7,0,1091,960,578,521,849,801,4299.0,1105.0,4299.0,8688.35000000028,0.0,0.0,866.3141068224375,0.0907,0.0347,0.0349,0.1024,194.3725,170.5344,160.3741,190.3169,177.7642,180.0773,166.2752,191.9295,168.9192,27368664334501044000,113093654274797696,10899507899044622,10757035747707330000,597613097094851710,1017953616168171390,42414734007007144,15593674970625542000,77968374853127712,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,300,11042.7351,3.2536,1905.9255,0.5115,48.396,0.013,3806,3394,89.175,10.5885,0,0.2365,412,403,0,9,0,1456,1263,708,627,1642,1504,6328.0,1480.0,6328.0,13530.699999999806,0.0,0.0,862.2234367331278,0.1255,0,0.0447,0.1395,195.1924,169.8522,159.3969,191.2731,178.7204,179.3232,165.5211,192.74,167.9688,33055533726657480000,96653607387887360,8703405404596493,13406470661564320000,744803925642462210,855694840408622340,35653951683692596,18793368224684536000,62644560748948456,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,400,15135.4888,3.2431,3003.5263,0.6024,67.7345,0.0136,5060,4667,92.2332,7.5889,0,0.1779,393,384,0,9,0,1704,1540,858,780,2498,2347,8001.0,1745.0,8001.0,22181.399999998706,0.0,0.0,865.7127757607598,0.1858,0.014,0.0687,0.2006,196.4287,169.9745,159.3941,192.5663,180.0136,180.8425,167.0404,193.9218,167.9012,43941438612254880000,99415019484739552,8697830287461378,18056518831970760000,1003139935109486720,1214084251739942660,50586843822497608,24670835528544186000,61677088821360464,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,500,17599.2136,3.1056,3630.8256,0.586,94.2851,0.0152,6330,5667,89.5261,10.1738,0,0.3002,663,644,0,19,0,1835,1588,923,795,3572,3284,9755.0,1874.0,9755.0,24241.19999999777,0.0,0.0,871.8799240359093,0.1952,0.0126,0.08,0.2073,195.2218,167.8818,157.2201,191.3187,178.766,179.877,166.0749,192.7323,165.7426,33279753467690983000,61401759165481520,5272457773715302,13547785174245642000,752654731902535680,972083948363254780,40503497848468952,18759884345082085000,37519768690164168,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,600,21883.8808,3.2008,4362.0771,0.5882,384.9401,0.0519,7596,6837,90.0079,9.663,0,0.3291,759,734,0,25,0,2176,1916,1033,899,4387,4022,11808.0,2268.0,11808.0,28572.899999996684,0.0,0.0,869.1138281845666,0.2333,0.0028,0.0977,0.2456,195.6348,167.5594,156.8427,191.6842,179.1315,179.7259,165.9238,193.2064,165.4248,36599738600598184000,57008938630215240,4833562942498440,14737328453618518000,818740469645473280,938840114945470980,39118338122727960,20923570032034198000,34872616720056996,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,700,27449.4966,3.5346,5435.4706,0.6415,2797.7931,0.3302,8880,7766,87.455,12.2748,0,0.2703,1114,1090,0,24,0,2365,2007,1056,874,5459,4885,13722.0,2484.0,13722.0,33785.149999996036,0.0,0.0,868.2174462472111,0.2213,0.0164,0.1197,0.2301,195.3735,166.6695,155.8992,191.169,178.6163,180.17,166.3679,193.0822,164.6313,34462784042593450000,46445800596487136,3889704745213708,13088779233478867000,727154401859937020,1039922562946846340,43330106789451928,20334082246167736000,29048688923096768,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,800,35226.7639,4.004,5709.0278,0.5995,8050.5884,0.8454,10122,8798,86.9196,12.8433,0,0.2371,1324,1300,0,24,0,2394,1988,1137,936,6591,5874,15060.0,2542.0,15060.0,35139.449999996395,0.0,0.0,877.2747679678271,0.2408,0.0326,0.0963,0.2498,195.4954,166.2423,155.4488,191.4805,178.9278,179.5366,165.7345,193.1139,164.083,35444093895508296000,42095123391340016,3506538770825909.5,14062243605870068000,781235755881670400,898793425153371390,37449726048057144,20483056864484856000,25603821080606068,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,900,48002.5595,4.8734,7407.6506,0.6965,16492.1601,1.5506,11394,9850,86.449,13.1736,0,0.3774,1544,1501,0,43,0,2405,1964,1158,962,7831,6924,17035.0,2661.0,17035.0,43756.09999999901,0.0,0.0,889.1359735518799,0.3155,0.0565,0.101,0.3264,195.5217,165.7812,154.9675,191.5413,178.9886,179.5198,165.7177,193.1183,163.5759,35659149888680395000,37854723873333752,3138733376347187.5,14260340057209885000,792241114289438080,895324358092534910,37305181587188952,20503485473377976000,22781650525975528,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,1000,63134.0858,5.6847,7968.7022,0.6703,27730.0562,2.3324,12628,11107,87.9553,11.6646,0,0.3801,1521,1473,0,48,0,2570,2168,1220,1032,8838,7907,18827.0,2783.0,18827.0,50622.30000000114,0.0,0.0,891.6417533952515,0.3297,0.0942,0.1297,0.3387,196.034,165.8553,155.0303,192.1712,179.6184,179.6531,165.851,193.5629,163.5629,40123205713057740000,38505955578750232,3184381405798233.5,16486009550073586000,915889419448532480,923234974370177790,38468123932090744,22713961188613976000,22713961188613976,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,100,4118.3835,3.687,640.7112,0.5142,24.9939,0.0201,1256,1117,88.9331,10.7484,0,0.3185,139,135,0,4,0,669,588,288,260,299,269,2422.0,671.0,2422.0,6073.150000000128,0.0,0.0,875.6637193476854,0.0785,0.0005,0.0208,0.1063,196.9859,175.463,166.0098,192.9337,180.3809,183.383,169.5808,194.4911,174.4911,49955723076710900000,351800866737400700,39900737281717968,19650138346407420000,1091674352578189950,2179194599716457220,90799774988185712,28126390130587020000,281263901305870208,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,200,8760.5342,3.9075,1588.8174,0.6409,45.3607,0.0183,2530,2242,88.6166,11.1462,0,0.2372,288,282,0,6,0,1052,930,478,434,1000,878,4900.0,1073.0,4900.0,12217.299999999908,0.0,0.0,846.6670537143102,0.1566,0,0.0347,0.1853,198.1068,174.2686,164.0842,193.6494,181.0967,185.4017,171.5996,195.8009,172.7906,64666466532940020000,267216803855124064,25610481795223772,23171009974542082000,1287278331919004670,3468715020906295800,144529792537762336,38026741537491650000,190133707687458240,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,300,13342.4774,4.0371,2712.6738,0.73,65.685,0.0177,3808,3305,86.791,12.7626,0,0.4464,503,486,0,17,0,1428,1250,576,498,1804,1557,7472.0,1500.0,7472.0,19761.599999998798,0.0,0.0,832.2954109837931,0.2354,0.0026,0.0467,0.2645,200.1924,174.8522,164.4003,195.9166,183.3639,186.3583,172.5561,197.8642,173.093,104530092379891780000,305643544970443780,27544161364925368,39053859381041360000,2169658854502297600,4323399982475600900,180141665936483360,61152833016374820000,203842776721249408,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,400,17575.6686,4.0228,3644.3205,0.7422,85.3566,0.0174,5068,4369,86.2076,13.5754,0,0.217,699,688,0,11,0,1624,1410,648,562,2796,2397,9927.0,1710.0,9927.0,23604.64999999774,0.0,0.0,840.1273216966616,0.2411,0.0055,0.0498,0.2632,200.104,173.6498,163.0608,195.4957,182.943,187.4843,173.6822,197.8799,171.8593,102424285501451710000,231729152718216544,20233956045328272,35446294913602940000,1969238606311274500,5603143321167010800,233464305048625440,61374847266681766000,153437118166704416,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,500,22722.4448,4.1306,4842.6021,0.7869,99.1111,0.0161,6312,5501,87.1515,12.6267,0,0.2218,811,797,0,14,0,1839,1612,672,598,3801,3291,12504.0,2025.0,12504.0,28036.749999996544,0.0,0.0,842.5746350716012,0.2519,0.0486,0.0437,0.2692,200.4188,173.0789,162.4261,195.9157,183.363,185.9491,172.147,198.2701,171.2804,110124640591848650000,203181993711897888,17482876741045984,39045286962605210000,2169182609033622780,3934684606639385600,163945191943307744,67144669022604060000,134289338045208112,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,600,27910.9181,4.2392,6243.9451,0.8486,281.9823,0.0383,7590,6584,86.7457,12.9381,0,0.3162,1006,982,0,24,0,1994,1734,768,678,4828,4172,14997.0,2155.0,14997.0,38744.849999997954,0.0,0.0,859.4919671690773,0.3132,0.0105,0.0751,0.3318,201.645,173.5696,162.854,196.9546,184.4019,188.7365,174.9344,199.4927,171.7112,146048921613694660000,227490532108558656,19293120424530340,49597666872450090000,2755425937358338000,7475671221996267500,311486300916511170,88975583519248300000,148292639198747168,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,700,33977.7809,4.5274,7208.8822,0.8581,2489.395,0.2963,8856,7505,84.7448,14.8261,0,0.4291,1351,1313,0,38,0,2136,1870,768,678,5952,4957,17409.0,2410.0,17409.0,42024.94999999857,0.0,0.0,864.1217435265614,0.3143,0.0028,0.0644,0.3308,201.2907,172.5866,161.8335,196.4037,183.8509,187.378,173.5759,199.3172,170.8662,134606991420533230000,181411039650314336,15252916874847958,43688347797278745000,2427130433182152700,5467671521912283100,227819646746345120,85450972101342200000,122072817287631712,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,800,47149.5701,5.4565,9144.7217,0.9669,9498.4522,1.0043,10090,8641,85.6392,13.8652,0,0.4955,1449,1399,0,50,0,2058,1783,836,749,7196,6109,19600.0,2222.0,19600.0,54249.10000000285,0.0,0.0,892.5262207090717,0.3901,0.067,0.0856,0.4065,201.8678,172.6146,161.8396,196.7968,184.2441,189.0945,175.2924,199.9029,170.872,153736169575439370000,182584524436388800,15274333787922440,47828144667899330000,2657119148216629200,8118004039286113300,338250168303588030,97790020868253930000,122237526085317408,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,900,57189.9555,5.9816,9137.0522,0.8635,16726.8109,1.5808,11404,9561,83.839,15.4683,0,0.6927,1843,1764,0,79,0,2312,2000,864,748,8228,6813,22191.0,2656.0,22191.0,54564.25000000306,0.0,0.0,883.064280153715,0.3225,0.0396,0.0992,0.3341,202.394,172.6535,161.8387,197.5481,184.9953,189.8844,176.0822,200.2916,170.7491,173540877767449120000,184225984891134944,15271108568061344,56859813759994544000,3158878542221919200,9737242513532109000,405718438063837890,106943821493922460000,118826468326580512,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,1000,70822.4026,6.7463,10255.5854,0.8739,26051.1449,2.22,12670,10498,82.8571,16.5351,0,0.6077,2172,2095,0,77,0,2347,2024,864,726,9459,7748,24891.0,2920.0,24891.0,54175.05000000343,0.0,0.0,876.743630086139,0.3257,0.035,0.069,0.3371,202.0374,171.8588,161.022,196.9773,184.4246,188.0016,174.1994,200.1575,170.1575,159861861154785560000,153418292854880576,12653305457874430,49857622414176020000,2769867911898667500,6311834031420623900,262993084642525984,103692404709188910000,103692404709188912,0,0,0,-1.0,[],[]
ALL,TRADE_OFF,100,3970.1852,3.5994,466.0092,0.3722,27.7164,0.0221,1266,1103,87.1248,12.7962,0,0.079,163,162,0,1,0,802,701,384,336,80,66,2504.0,804.0,2504.0,6589.400000000164,0.0,0.0,844.486995115404,0.0221,0.0021,0.03,0.0239,197.4789,175.956,166.458,193.4443,180.8915,185.3892,171.5871,194.8289,174.8289,55961597975781530000,394095760392827710,44238417372159312,22101702284522580000,1227872349140143360,3458772127461400600,144115505310891680,30401123563797550000,304011235637975490,0,0,0,-1.0,[],[]
ALL,TRADE_OFF,200,8408.2951,3.7554,978.6323,0.3969,51.4684,0.0209,2530,2239,88.498,11.1067,0,0.3953,291,281,0,10,0,1438,1279,705,620,387,340,4997.0,1473.0,4997.0,10223.300000000107,0.0,0.0,767.6053090476208,0.0598,0.0027,0.0413,0.0671,198.3866,174.5484,164.3726,193.9578,181.405,185.9512,172.1491,196.0376,173.0273,68969667687208436000,284998626806646432,27368915748892236,24875783372942537000,1381987965163474180,3936588885336080400,164024536889003360,40157295428929815000,200786477144649088,0,0,0,-1.0,[],[]
ALL,TRADE_OFF,300,12381.8491,3.783,1681.4044,0.4584,73.6642,0.0201,3786,3273,86.4501,13.365,0,0.1849,513,506,0,7,0,2016,1745,988,851,782,677,7492.0,2106.0,7492.0,17103.849999999267,0.0,0.0,753.5090566507395,0.0783,0.0387,0.0775,0.0808,200.5643,175.224,164.7893,196.271,183.7183,188.0217,174.2196,198.1397,173.3685,113874353636281550000,332965946304916800,30125490379968664,42374209927015790000,2354122773723099600,6341239438641658900,264218309943402464,65158904270624090000,217196347568746976,0,0,0,-1.0,[],[]
ALL,TRADE_OFF,400,17371.3089,3.9195,2651.2253,0.5373,95.7028,0.0194,5060,4432,87.5889,12.1739,0,0.2372,628,616,0,12,0,2498,2187,1162,1021,1400,1224,10258.0,2848.0,10258.0,28461.29999999746,0.0,0.0,735.3843966914508,0.1427,0.0409,0.0988,0.15,202.8872,176.433,165.8552,198.8505,186.2978,189.7602,175.9581,200.3424,174.3218,194412604829709340000,439847522239161410,38505170297030960,76745521192172040000,4263640066231780400,9462796078507915000,394283169937829820,108204287559029370000,270510718897573440,0,0,0,-1.0,[],[]
