Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,DDLDO,100,3142.1322,2.6971,453.4951,0.3599,47.9155,0.038,1266,1165,92.0221,7.8199,0,0.158,101,99,0,2,0,604,546,321,281,341,338,1909.0,605.0,1909.0,6134.950000000097,0.0,0.0,913.3384433409586,0.0001,0,0.0008,0,196.3613,174.8384,165.3439,193.0991,180.5463,163.5233,149.7212,193.5849,173.5849,43264641001840250000,304680570435494720,34228355222974880,20412931229689410000,1134051734982744960,22507655193998324,937818966416596.9,22829202116956844000,228292021169568448,0,0,0,-1.0,[],[]
ALL,DDLDO,200,6562.771,2.8521,980.4421,0.3923,90.298,0.0361,2524,2301,91.1648,8.7163,0,0.1189,223,220,0,3,0,1330,1212,530,441,664,648,3954.0,1349.0,3954.0,13734.150000000074,0.0,0.0,829.3528869044778,0.0048,0,0,0.0058,199.3256,175.4874,165.3098,196.0458,183.4931,162.994,149.1919,196.5671,173.5568,85616498084923020000,353787182169103360,33961324111433168,40232943647020120000,2235163535945562370,19925133122642224,830213880110092.6,45363629304780250000,226818146523901248,0,0,0,-1.0,[],[]
ALL,DDLDO,300,9804.2904,2.8117,1372.9848,0.3676,140.8904,0.0377,3792,3487,91.9568,7.7532,0,0.2901,305,294,0,11,0,1850,1675,761,673,1181,1139,5754.0,1915.0,5754.0,17925.099999999693,0.0,0.0,802.5629101296221,0.0012,0.0005,0.0016,0.0012,200.143,174.8027,164.3669,196.7879,184.2352,168.1142,154.3121,197.4471,172.6759,103347597073772580000,302185956356060160,27333403087482828,47729887137299230000,2651660396516623900,64777076590751184,2699044857947966,55552932859882610000,185176442866275360,0,0,0,-1.0,[],[]
ALL,DDLDO,400,12063.195,2.6241,1759.08,0.3531,211.0633,0.0424,5064,4597,90.778,8.9455,0,0.2765,467,453,0,14,0,2432,2162,976,815,1656,1620,7284.0,2546.0,7284.0,20800.199999999284,0.0,0.0,758.8267735097705,0.0028,0,0,0.0031,200.8401,174.3859,163.8072,197.4192,184.8665,167.5533,153.7512,198.2012,172.1806,121343001697592700000,274531678048852288,24028317167840140,55197918016679770000,3066551000926654000,56929074077811392,2372044753242141.5,66088154606835130000,165220386517087840,0,0,0,-1.0,[],[]
ALL,DDLDO,500,16402.0405,2.8206,2367.7767,0.3817,250.4903,0.0404,6336,5815,91.7771,7.702,0,0.5208,521,488,0,33,0,3140,2844,1184,997,2012,1974,9655.0,3536.0,9655.0,30484.599999997903,0.0,0.0,719.8183164574141,0.0047,0,0,0.0051,202.7475,175.4075,164.7521,199.443,186.8903,165.2343,151.4322,200.0113,173.0216,188258342486465540000,347340115288681790,29868053702437816,87963556417626320000,4886864245423684600,33376030000428180,1390667916684507.5,100261410038838790000,200522820077677568,0,0,0,-1.0,[],[]
ALL,DDLDO,600,19879.343,2.8505,2921.4269,0.3925,455.0514,0.0611,7594,6974,91.8357,7.8615,0,0.3029,620,597,0,23,0,3675,3402,1415,1151,2504,2421,11607.0,4302.0,11607.0,37026.44999999776,0.0,0.0,702.7637309210511,0.0129,0.01,0,0.0135,203.8133,175.738,165.0218,200.539,187.9863,165.107,151.3049,201.0508,173.2693,240620754494567300000,374798683013344700,31781898625619772,113214411472331640000,6289689526240646100,32411891093422432,1350495462225934.8,127373931131142230000,212289885218570368,0,0,0,-1.0,[],[]
ALL,DDLDO,700,24176.8332,3.0251,3276.8823,0.3834,2647.9839,0.3098,8860,7992,90.2032,9.3905,0,0.4063,868,832,0,36,0,4101,3646,1467,1212,3292,3134,13005.0,4877.0,13005.0,39011.649999997724,0.0,0.0,686.4345761151749,0.0212,0.0547,0.0013,0.021,204.1376,175.4336,164.679,200.8429,188.2901,170.6532,156.8511,201.3907,172.9397,259277571952276050000,349430689962636160,29369910733153156,121419124269639480000,6745506903868860400,116230447070137840,4842935294589077,137742217235566430000,196774596050809184,0,0,0,-1.0,[],[]
ALL,DDLDO,800,34171.3936,3.77,3922.1441,0.4099,8988.3807,0.9394,10110,9064,89.6538,9.8615,0,0.4847,1046,997,0,49,0,4592,4159,1617,1286,3901,3619,15014.0,5879.0,15014.0,49634.649999998794,0.0,0.0,669.9792694792463,0.0321,0.1266,0.0013,0.0309,205.165,175.9118,165.1325,201.9482,189.3955,170.8714,157.0692,202.3486,173.3177,328470250831478600000,390107186260663420,32602506286002836,156611877358473700000,8700659853248539600,122218120359312176,5092421681638007,171736155352645570000,214670194190806944,0,0,0,-1.0,[],[]
ALL,DDLDO,900,42228.6824,4.1662,4113.2567,0.3852,15952.7017,1.4941,11398,10136,88.9279,10.5808,0,0.4913,1262,1206,0,56,0,4766,4206,1788,1468,4844,4462,15627.0,5894.0,15627.0,45631.499999998145,0.0,0.0,670.6062951603033,0.0393,0.1194,0.0017,0.0387,204.8798,175.1393,164.3241,201.5992,189.0465,170.1298,156.3277,202.1213,172.5789,307598266196275230000,326537437575663740,27065399577322940,144517255624590050000,8028736423588335600,103033153601551088,4293048066731295.5,162977977418083630000,181086641575648480,0,0,0,-1.0,[],[]
ALL,DDLDO,1000,56760.7815,5.0598,5062.33,0.4258,25731.1959,2.1643,12660,11218,88.6098,10.7267,0,0.6635,1442,1358,0,84,0,5502,4834,1904,1495,5254,4889,18897.0,7611.0,18897.0,59660.79999999922,0.0,0.0,656.041361814385,0.0697,0.1717,0.0027,0.0694,206.058,175.8793,165.0488,202.8243,190.2716,172.736,158.9338,203.2562,173.2562,403457143777627870000,387194955640717700,31979798967789144,191616363478458800000,10645353526581043000,187756799278110592,7823199969921275,211653023499890980000,211653023499890976,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,100,2007.2632,1.588,1622.4951,1.2836,265.6205,0.2101,1264,1264,100,0,0,0,0,0,0,0,0,10,10,14,14,1240,1240,120.0,10.0,120.0,213.60000000000025,0.0,0.0,1024.0,0.6008,0,0,0.8531,180.4035,158.8806,149.386,177.3301,164.7774,148.317,134.5149,177.4501,157.4501,1097361989322816000,7727901333259268,868166130793367.1,540771330720823810,30042851706712432,678730235697179.5,28280426487382.48,555911928366294980,5559119283662950,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,200,3385.3726,1.3418,2578.3679,1.0199,524.4439,0.2075,2528,2523,99.8022,0.1978,0,0,5,5,0,0,0,33,33,19,19,2476,2471,258.0,33.0,258.0,704.8000000000002,0.0,0.0,1024.0,0.6482,0,0,0.7843,185.1559,161.3177,151.1281,182.0913,169.5385,148.0198,134.2177,182.1976,159.1873,3277840826487422500,13544796803667034,1296614250983948.8,1618549423180742400,89919412398930128,633840188790944.9,26410007866289.37,1658657563117889020,8293287815589445,0,0,0,-1.0,[],[]
