time,episodeOrStep,memorySize,batchSize,learningRate,loss,avgObjective,selectedAction,selectedVmId,selectedVmType,estimatedDelay,actualDelay,estimatedEnergy,actualEnergy,actualEnergyAvailable,delayFeedbackType,energyFeedbackType,observedCost,finalTrainingCost,success,failureReason
67.012458805614,1,1,256,1.0E-4,0.22631283601125082,0.12089777624043782,2,3,edge,0.310697863647666,1.0124588056140027,3.0687811981101624E18,8.456930392953504E14,true,actual,datacenter_delta,3.66625749517429,3.7916883175467264,false,
68.01243420844325,2,2,256,1.0E-4,0.22751999398072562,0.12089777624043782,2,3,edge,0.310697863647666,2.0124342084432527,3.0687811981101624E18,1.6847272911163158E15,true,actual,datacenter_delta,3.757751865704348,3.8831826880767846,false,
73.01334106440758,3,3,256,1.0E-4,0.22956220308939615,0.14225153092419893,3,11,cloud,0.96967827393821,5.013341064407584,2.739044748250693E19,7.412723156535191E15,true,actual,datacenter_delta,4.031050584700681,4.156494065609552,false,
75.01960609563992,4,4,256,1.0E-4,0.2286540518204371,0.1537709290614782,3,3,cloud,0.9758791497035123,1.019606095639915,1.2506169400203964E20,3.4576443865847316E16,true,actual,datacenter_delta,3.674958450231163,3.800427364938665,false,
76.01346819841916,5,5,256,1.0E-4,0.23461476961771646,0.1415033408152681,3,5,cloud,0.0743065751045632,5.013468198419162,1.4095458725405013E17,7.748500471949647E13,true,actual,datacenter_delta,5.02335186586069,5.148808035108317,false,
79.01323247864461,6,6,256,1.0E-4,0.23176519738303292,0.14874595739467694,3,11,cloud,0.96967827393821,11.01323247864461,2.739044748250693E19,1.4587041845910456E16,true,actual,datacenter_delta,4.481319836144095,4.606763317052966,false,
82.01949099576721,7,7,256,1.0E-4,0.23316945348467147,0.15440069540591111,3,3,cloud,0.9758791497035123,8.019490995767214,1.2506169400203964E20,6.8348069477831544E16,true,actual,datacenter_delta,4.306427820880213,4.431896735587714,false,
104.25999999999836,8,8,256,1.0E-4,0.23486985762914023,0.14665473195897566,3,5,cloud,0.0743065751045632,33.25999999999836,1.4095458725405013E17,7.748500471949648E13,true,actual,datacenter_delta,9.621446088318804,9.74690225756643,false,
104.25999999999836,9,9,256,1.0E-4,0.23358123390762894,0.14091200970590262,3,8,cloud,0.07818208574721887,41.25999999999836,3.861613399786207E17,2.139973168425336E14,true,actual,datacenter_delta,11.223652041640069,11.349082864012505,false,
104.25999999999836,10,10,256,1.0E-4,0.2388909419377645,0.1363178319034442,3,8,cloud,0.07818208574721887,41.25999999999836,3.861613399786207E17,2.139973168425336E14,true,actual,datacenter_delta,11.223652041640069,11.349082864012505,false,
104.25999999999836,11,11,256,1.0E-4,0.2374233910531709,0.1327120313908992,3,9,cloud,0.08124466959786118,38.25999999999836,7.385862194655939E17,2.0612290468369988E14,true,actual,datacenter_delta,10.623570631269219,10.749001453641656,false,
104.25999999999836,12,12,256,1.0E-4,0.23469973272747466,0.129394152622361,3,10,cloud,0.07495414487568888,36.25999999999836,1.6995057016312112E17,9.4130166798201E13,true,actual,datacenter_delta,10.221868644140953,10.347312125049823,false,
104.25999999999836,13,13,256,1.0E-4,0.23900839609977523,0.1265867167412902,3,10,cloud,0.07495414487568888,36.25999999999836,1.6995057016312112E17,9.4130166798201E13,true,actual,datacenter_delta,10.221868644140953,10.347312125049823,false,
104.25999999999836,14,14,256,1.0E-4,0.2405518406913394,0.12414329863734572,3,11,cloud,0.07423283108302424,40.25999999999836,1.3790553508770474E17,7.586797227591197E13,true,actual,datacenter_delta,4.46940029238413,4.594831114756566,false,
104.25999999999836,15,15,256,1.0E-4,0.23999935256110297,0.12202566961392716,3,11,cloud,0.07423283108302424,40.25999999999836,1.3790553508770474E17,7.586797227591197E13,true,actual,datacenter_delta,4.46940029238413,4.594831114756566,false,
104.25999999999836,16,16,256,1.0E-4,0.23982129991054535,0.12028549882080984,3,15,cloud,0.07611070098507638,35.25999999999836,2.3259199677837802E17,1.2919379431492153E14,true,actual,datacenter_delta,10.023056208266127,10.148512377513754,false,
104.25999999999836,17,17,256,1.0E-4,0.2423416679980708,0.11867277483766143,3,17,cloud,0.07491393721559492,35.25999999999836,1.6803020281032774E17,9.321412014380236E13,true,actual,datacenter_delta,10.021847408522603,10.14730357777023,false,
104.25999999999836,18,18,256,1.0E-4,0.24284289501331469,0.11723924240819618,3,17,cloud,0.07491393721559492,35.25999999999836,1.6803020281032774E17,9.321412014380236E13,true,actual,datacenter_delta,10.021847408522603,10.14730357777023,false,
