Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,DDLDO,1000,54566.5448,4.8781,4731.3449,0.3995,25476.8036,2.1512,12652,11186,88.4129,10.8441,0,0.743,1466,1372,0,94,0,5214,4547,1861,1481,5577,5158,17797.0,7060.0,17797.0,52038.14999999833,0.0,0.0,657.1603329331806,0.0585,0.151,0.0018,0.0582,205.3857,175.207,164.383,202.0982,189.5455,171.1639,157.3618,202.6328,172.6328,345596915373536840000,331666905348883710,27434858726167884,162115389127966600000,9006410507109255200,130734438804440176,5447268283518341,183350791806765760000,183350791806765760,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,1000,45199.1134,3.7566,12295.6105,1.0176,30397.3799,2.5157,12628,12032,95.2803,4.585,0,0.1346,596,579,0,17,0,315,302,88,88,12225,11642,1758.0,439.0,1758.0,6525.950000000172,0.0,0.0,864.4164991766593,0.6544,0.1253,0,0.6796,195.7787,165.6,154.7661,192.7332,180.1805,155.6875,141.8854,192.8025,162.8025,37833028349923890000,36308088627566120,2996438171227934,18763878295308526000,1042437683072695810,3704663697782656,154360987407610.66,19065445390917587000,19065445390917588,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,1000,64094.8026,5.7686,8010.9506,0.6732,28648.062,2.4074,12650,11111,87.834,11.6917,0,0.4743,1539,1479,0,60,0,2522,2134,1212,1036,8916,7941,18807.0,2778.0,18807.0,48909.60000000089,0.0,0.0,893.8034625740237,0.3152,0.0521,0.123,0.3245,195.9871,165.8084,154.9779,192.1313,179.5785,179.3603,165.5581,193.5208,163.5208,39692801324137890000,38092899543318512,3146227118273453.5,16335249312814604000,907513850711922430,863028300830002690,35959512534583444,22494523710493280000,22494523710493280,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,1000,67699.7659,6.6023,10380.8512,0.8959,24174.4937,2.0863,12624,10254,81.2262,18.1084,0,0.6654,2370,2286,0,84,0,2294,1915,864,703,9466,7636,24725.0,2938.0,24725.0,57035.150000004665,0.0,0.0,881.9992648990072,0.3458,0.0652,0.0708,0.3575,201.9138,171.7351,160.916,196.7112,184.1585,188.4852,174.6831,200.0615,170.0615,155374697617785980000,149111993875034528,12347985187776046,46894271592706120000,2605237310705895400,7055385944513210400,293974414354717120,101425040080566650000,101425040080566656,0,0,0,-1.0,[],[]
ALL,TRADE_OFF,1000,66237.3312,6.3586,6882.397,0.5902,24520.2299,2.1026,12670,10417,82.2178,17.0955,0,0.6867,2253,2166,0,87,0,4320,3537,2122,1744,6228,5136,25295.0,5386.0,25295.0,54832.250000004,0.0,0.0,778.7929577099452,0.2112,0.0586,0.1536,0.2153,204.1594,173.9807,163.1488,199.7429,187.1902,191.0171,177.2149,201.8664,171.8664,260580687066143650000,250077434804360512,20648231938680164,94252683113338600000,5236260172963255300,12638778740005690000,526615780833570370,153689225212799350000,153689225212799360,0,0,0,-1.0,[],[]
ALL,TRADI_POLLING,1000,69309.0789,6.7448,12020.8289,1.0378,24707.9316,2.1331,12658,10276,81.1819,18.0597,0,0.7584,2382,2286,0,96,0,1562,1304,1681,1362,9415,7610,24193.0,1587.0,24193.0,55751.30000000467,0.0,0.0,942.8435246518419,0.3003,0.0261,0.1301,0.3093,201.3978,171.2191,160.3917,194.9121,182.3594,191.0305,177.2284,199.7452,169.7452,137969253254942920000,132408112528736000,10943860811846032,30989340977996796000,1721630054333155330,12677955901541020000,528248162564209150,94301956375405100000,94301956375405104,0,0,0,-1.0,[],[]
ALL,RANDOM_VM,1000,73316.7795,6.8322,10091.9718,0.8577,27369.6474,2.326,12646,10731,84.8569,14.4473,0,0.6959,1915,1827,0,88,0,4525,3850,1172,1003,6949,5878,24854.0,5129.0,24854.0,63257.55000000599,0.0,0.0,823.0317504504645,0.282,0.0983,0.1031,0.2896,204.8064,174.6277,163.8009,200.5574,188.0047,189.4489,175.6468,202.5512,172.5512,302438621977647050000,290248197675285060,23993543988706628,113695589978114060000,6316421665450781700,8808276021927284700,367011500913636860,179934755977605700000,179934755977605696,0,0,0,-1.0,[],[]
