Orchestration algorithm,Vehicle speed,Average ETE delay (s),Average energy consumption (W/Data center),Tasks success rate(%)
DDLDO,30.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,40.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,50.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,60.0,2.7137666666666664,1.286344559338205e+16,93.38393666666664
DDLDO,70.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,80.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,90.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,100.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,110.0,2.6130733333333334,4166539160264353.0,93.91990666666666
DDLDO,120.0,2.6130733333333334,4166539160264353.0,93.91990666666666
RANDOM_VM,30.0,4.452113333333332,3.4289788579977766e+17,85.7507
RANDOM_VM,40.0,4.452113333333332,3.4289788579977766e+17,85.7507
RANDOM_VM,50.0,4.451953333333334,3.428989488707811e+17,85.74524666666665
RANDOM_VM,60.0,4.452113333333332,3.4289788579977766e+17,85.7507
RANDOM_VM,70.0,4.452113333333332,3.4289788579977766e+17,85.7507
RANDOM_VM,80.0,4.452113333333332,3.4289788579977766e+17,85.7507
RANDOM_VM,90.0,4.452113333333332,3.4289788579977766e+17,85.7507
RANDOM_VM,100.0,4.452119999999999,3.42898903983578e+17,85.75126666666667
RANDOM_VM,110.0,4.451953333333334,3.428989488707811e+17,85.74524666666665
RANDOM_VM,120.0,4.45202,3.428985187029093e+17,85.74869999999997
ROUND_ROBIN,30.0,4.5174199999999995,1.9954302714839053e+17,84.99774666666667
ROUND_ROBIN,40.0,4.5174199999999995,1.9954302714839053e+17,84.99774666666667
ROUND_ROBIN,50.0,4.517720000000001,1.995438093801986e+17,84.99071333333333
ROUND_ROBIN,60.0,4.5174199999999995,1.9954302714839053e+17,84.99774666666667
ROUND_ROBIN,70.0,4.5174199999999995,1.9954302714839053e+17,84.99774666666667
ROUND_ROBIN,80.0,4.5174199999999995,1.9954302714839053e+17,84.99774666666667
ROUND_ROBIN,90.0,4.5174199999999995,1.9954302714839053e+17,84.99774666666667
ROUND_ROBIN,100.0,4.517686666666667,1.99542778808747e+17,84.99204
ROUND_ROBIN,110.0,4.517720000000001,1.995438093801986e+17,84.99071333333333
ROUND_ROBIN,120.0,4.51748,1.9954323111113386e+17,84.99146
TASK_CLF_Q_LEARNING,30.0,1.8020666666666665,1.7667280970995396e+16,98.25364
TASK_CLF_Q_LEARNING,40.0,1.8020666666666665,1.7667280970995396e+16,98.25364
TASK_CLF_Q_LEARNING,50.0,1.8020666666666665,1.7667385035274714e+16,98.25364
TASK_CLF_Q_LEARNING,60.0,1.745141379310345,1.7876033410908744e+16,98.37935862068966
TASK_CLF_Q_LEARNING,70.0,1.8020666666666665,1.7667280970995396e+16,98.25364
TASK_CLF_Q_LEARNING,80.0,1.8020666666666665,1.7667280970995396e+16,98.25364
TASK_CLF_Q_LEARNING,90.0,1.8020666666666665,1.7667280970995396e+16,98.25364
TASK_CLF_Q_LEARNING,100.0,1.8020666666666665,1.7667287298182656e+16,98.25364
TASK_CLF_Q_LEARNING,110.0,1.8020666666666665,1.7667385035274714e+16,98.25364
TASK_CLF_Q_LEARNING,120.0,1.8020666666666665,1.766762439777412e+16,98.25364
TRADE_OFF,30.0,4.394973333333334,3.455346469866804e+17,86.72910666666665
TRADE_OFF,40.0,4.394973333333334,3.455346469866804e+17,86.72910666666665
TRADE_OFF,50.0,4.39506,3.455353355895783e+17,86.76079333333332
TRADE_OFF,60.0,4.394973333333334,3.455346469866804e+17,86.72910666666665
TRADE_OFF,70.0,4.394973333333334,3.455346469866804e+17,86.72910666666665
TRADE_OFF,80.0,4.394973333333334,3.455346469866804e+17,86.72910666666665
TRADE_OFF,90.0,4.394973333333334,3.455346469866804e+17,86.72910666666665
TRADE_OFF,100.0,4.394973333333334,3.4553481886145837e+17,86.74293333333331
TRADE_OFF,110.0,4.39506,3.455353355895783e+17,86.76079333333332
TRADE_OFF,120.0,4.39498,3.455345136271033e+17,86.74165333333332
TRADI_POLLING,30.0,4.636773333333334,1.742256630899272e+17,84.61566666666667
TRADI_POLLING,40.0,4.636773333333334,1.742256630899272e+17,84.61566666666667
TRADI_POLLING,50.0,4.63676,1.7422597013969162e+17,84.61525999999999
TRADI_POLLING,60.0,4.636773333333334,1.742256630899272e+17,84.61566666666667
TRADI_POLLING,70.0,4.636773333333334,1.742256630899272e+17,84.61566666666667
TRADI_POLLING,80.0,4.636773333333334,1.742256630899272e+17,84.61566666666667
TRADI_POLLING,90.0,4.636773333333334,1.742256630899272e+17,84.61566666666667
TRADI_POLLING,100.0,4.636660000000001,1.7422461800015706e+17,84.60727999999999
TRADI_POLLING,110.0,4.63676,1.7422597013969162e+17,84.61525999999999
TRADI_POLLING,120.0,4.636626666666667,1.7422613588966013e+17,84.60324
WEIGHT_GREEDY,30.0,3.622966666666667,7.897723673314122e+16,88.73106000000001
WEIGHT_GREEDY,40.0,3.622966666666667,7.897723673314122e+16,88.73106000000001
WEIGHT_GREEDY,50.0,3.62314,7.89674518855421e+16,88.73050000000002
WEIGHT_GREEDY,60.0,3.622966666666667,7.897723673314122e+16,88.73106000000001
WEIGHT_GREEDY,70.0,3.622966666666667,7.897723673314122e+16,88.73106000000001
WEIGHT_GREEDY,80.0,3.622966666666667,7.897723673314122e+16,88.73106000000001
WEIGHT_GREEDY,90.0,3.622966666666667,7.897723673314122e+16,88.73106000000001
