Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,DDLDO,726,23205.0233,2.7326,8495.1579,0.9614,6500.2779,0.7357,9188,8492,92.4249,7.4663,0,0.1088,696,686,0,10,0,1470,1042,1256,1252,6462,6198,5956.0,1470.0,5956.0,2644.3999999999824,0.0,0.0,839.7474135525753,0.8483,0.0255,0.0161,0.8962,187.8669,159.0133,148.239,178.612,166.0593,165.9265,152.1244,187.2864,158.6771,6119166726038679600,7967665007862864,666648515746669.5,726447464199980420,40358192455554464,39142564732474632,1630940197186443,5353576697106224100,7374072585545763,0,0,0,-1.0,[],[]
ALL,DDLDO,792,28885.094,3.1565,10098.8591,1.0617,10655.2106,1.1202,10052,9151,91.0366,8.854,0,0.1094,901,890,0,11,0,1274,874,1198,1195,7580,7082,6040.0,1274.0,6040.0,2464.849999999946,0.0,0.0,877.602565510469,0.8489,0.0215,0.0048,0.8932,186.7023,157.4907,146.6837,175.4802,162.9275,163.5824,149.7803,186.3386,157.3513,4679844843134666800,5611324751960032,465980767015300.9,353198796158611330,19622155342145072,22816203162494820,950675131770617.5,4303829843813560300,5434128590673687,0,0,0,-1.0,[],[]
ALL,DDLDO,858,34555.8512,3.482,10409.3992,1.012,16094.6152,1.5647,10860,9924,91.3812,8.4715,0,0.1473,936,920,0,16,0,4,2,2138,1705,8718,8217,6016.0,4.0,6016.0,2497.1999999999493,0.0,0.0,930.2454576156692,0.8454,0.0012,0.0426,0.8856,176.6117,147.0692,136.2574,143.699,131.1463,165.64,151.8379,176.2473,146.9125,458316534179705730,509240593533006.4,42241155223936.016,234370273740698.38,13020570763372.133,36643786964142728,1526824456839280.2,421438376941822340,491186919512613.44,0,0,0,-1.0,[],[]
ALL,DDLDO,924,41797.9557,3.9126,9999.4064,0.9007,22473.2999,2.0243,11736,10683,91.0276,8.8787,0,0.0937,1053,1042,0,11,0,30,12,2324,1876,9382,8795,6952.0,30.0,6952.0,3024.000000000039,0.0,0.0,921.3010247136807,0.7415,0.0029,0.0297,0.7743,177.4363,147.5866,136.7441,153.3907,140.8379,165.8041,152.002,177.109,147.4522,554159340750798460,573663913820702.4,47250966980797.96,2183060384896633.5,121281132494257.42,38054785806265008,1585616075261042,513921494559636800,556192093679260.6,0,0,0,-1.0,[],[]
ALL,DDLDO,990,51128.5474,4.5071,11060.8659,0.936,29065.3065,2.4596,12518,11344,90.6215,9.2826,0,0.0959,1174,1162,0,12,0,1822,1313,1500,1495,9196,8536,8101.0,1822.0,8101.0,3845.3500000001177,0.0,0.0,835.825549642933,0.7524,0.0254,0.0027,0.7838,188.6497,158.5129,147.6771,177.3829,164.8301,164.6613,150.8592,188.2937,158.3374,7327698629990852600,7100483168595787,585747292565216,547378021235077820,30409890068615436,29250257807011788,1218760741958824.5,6751070350948762600,6819262980756326,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,66,945.9566,1.1208,711.6272,0.8432,158.3507,0.1876,844,844,100,0,0,0,0,0,0,0,0,8,8,14,14,822,822,80.0,8.0,80.0,184.19999999999996,0.0,0.0,1024.0,0.4006,0,0,0.6556,180.285,159.9508,151.0216,177.2228,164.67,148.751,134.9489,177.3201,159.1246,1067834318830684420,9887354803987818,1265206538898915.2,527564818730666110,29309156596148116,750074749656768.2,31253114569032.01,539519425350361540,8174536747732751,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,132,2233.6918,1.3367,1709.0513,1.0222,306.4457,0.1833,1672,1671,99.9402,0.0598,0,0,1,1,0,0,0,24,24,22,22,1626,1625,180.0,24.0,180.0,473.40000000000094,0.0,0.0,1024.0,0.5258,0,0,0.6931,184.0425,161.637,151.8102,180.9843,168.4315,150.2398,136.4377,181.0761,159.8703,2536604775525744100,14578188365090484,1517108119333579,1254373303268975360,69687405737165296,1056763744327197.4,44031822680299.89,1281174708512441600,9705869003882134,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,198,3186.0933,1.2608,2457.5806,0.9714,502.4924,0.1986,2530,2527,99.8814,0.1186,0,0,3,3,0,0,0,23,23,18,18,2489,2486,206.0,23.0,206.0,491.20000000000067,0.0,0.0,1024.0,0.6055,0,0,0.734,183.4557,159.6536,149.4245,180.361,167.8082,148.8236,135.0215,180.5253,157.5586,2215996056261063940,9233316901087766,875887769273147.8,1086663979547888380,60370221085993800,762715873036058.5,31779828043169.105,1128569360840139520,5699845256768381,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,264,4579.5109,1.365,3458.1681,1.0298,770.1476,0.2293,3358,3355,99.9107,0.0893,0,0,3,3,0,0,0,36,36,32,32,3290,3287,302.0,36.0,302.0,818.4999999999992,0.0,0.0,1022.3046357615895,0.7497,0,0,0.869,185.1578,160.3006,149.897,182.117,169.5643,151.0831,137.281,182.1744,157.9583,3279267328050683900,10716559895590470,976553701027600.9,1628166043646741250,90453669091485632,1283254065531045,53468919397126.875,1649818030338411520,6249310720978832,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,330,5639.3325,1.3569,4423.6764,1.0626,723.6683,0.1738,4164,4156,99.8079,0.1681,0,0.024,8,7,0,1,0,36,36,36,35,4092,4085,395.0,36.0,395.0,817.7999999999998,0.0,0.0,1022.7037974683544,0.5716,0,0,0.6444,185.8697,160.1643,149.6757,182.8125,170.2598,153.9247,140.1226,182.9004,157.7153,3863434682229944300,10385577102768668,928040999815023.9,1910945153136041470,106163619618668976,2468732719723584,102863863321816,1950020796374179580,5909153928406605,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,396,6534.5567,1.3051,4931.7157,0.9834,952.7748,0.19,5016,5007,99.8206,0.1794,0,0,9,9,0,0,0,44,44,56,56,4916,4907,501.0,44.0,501.0,1006.2999999999963,0.0,0.0,1022.9780439121756,0.6262,0,0,0.6926,186.6781,160.2633,149.6745,183.6185,171.0657,153.7393,139.9372,183.7122,157.7352,4653794615333889000,10625101861492898,927789995082513.8,2300629935895446530,127812774216413696,2365548738085216.5,98564530753550.69,2350799130700357600,5936361441162519,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,462,7093.2609,1.2121,5358.6004,0.9135,912.9154,0.1556,5868,5852,99.7273,0.2556,0,0.017,16,15,0,1,0,64,64,57,57,5747,5731,612.0,64.0,612.0,1395.5999999999885,0.0,0.0,1014.0165577342048,0.5094,0,0,0.5557,187.6609,160.6366,149.9768,184.6073,172.0546,154.6257,140.8236,184.6892,158.0428,5835686446251827200,11578742948912356,994662765681238.6,2888902041665846300,160494557870324800,2901131758886941,120880489953622.55,2943883272827094500,6372041716075962,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,528,8818.2365,1.3205,6756.72,1.0088,1170.2636,0.1747,6698,6678,99.7014,0.2986,0,0,20,20,0,0,0,81,81,56,56,6561,6541,684.0,81.0,684.0,1813.6999999999882,0.0,0.0,1013.3707602339181,0.608,0,0,0.6564,189.109,161.5502,150.8495,186.072,173.5193,154.6054,140.8033,186.1221,158.8957,8145097180985933800,14289644177168304,1216049146160933.8,4047649772499036700,224869431805502048,2887615761668414.5,120317323402850.61,4094559792725228500,7754848092282630,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,594,10826.894,1.4467,8138.3785,1.0845,1662.1596,0.2215,7518,7484,99.5478,0.4256,0,0.0266,34,32,0,2,0,104,103,65,64,7349,7317,775.0,106.0,775.0,2274.449999999988,0.0,0.0,992.5791328119918,0.7034,0.0078,0.0004,0.7529,190.1596,162.125,151.3997,187.1267,174.574,153.8663,140.0642,187.1697,159.4318,10374291428878885000,16311778976224662,1380294229494263.5,5160254894917609500,286680827495422752,2435735284208169.5,101488970175340.39,5211600798677067800,8773738718311562,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,660,13123.4163,1.6039,9033.8628,1.0978,2874.6046,0.3493,8344,8182,98.0585,1.9175,0,0.024,162,160,0,2,0,76,76,80,79,8188,8027,985.0,76.0,985.0,1579.9999999999882,0.0,0.0,1017.589170896785,0.6832,0.0006,0,0.7266,188.3083,159.8449,149.0956,185.2595,172.7068,154.7582,140.956,185.3323,157.1369,6773722406648946700,9649177217448642,812002206503110.4,3356988435265796100,186499357514766464,2990990933871256,124624622244635.67,3413742980449280000,5172337849165576,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,726,15610.3457,1.7601,8373.0994,0.9412,5351.3491,0.6015,9188,8870,96.539,3.4175,0,0.0435,318,314,0,4,0,184,182,107,107,8897,8581,1409.0,210.0,1409.0,3816.9500000000476,0.0,0.0,929.7743770054593,0.6584,0.06,0.2587,0.6864,193.6418,164.7881,154.0114,190.6106,178.0578,155.6495,141.8474,190.6509,162.0415,23129988569215280000,30117172616165728,2518509208320479,11509473479706124000,639415193317006850,3672399099836709,153016629159862.88,11616842690409318000,16001160730591348,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,792,23503.1836,2.4482,10326.058,1.0726,10222.5682,1.0619,10032,9600,95.6938,4.2464,0,0.0598,432,426,0,6,0,326,321,147,147,9559,9132,2151.0,414.0,2151.0,6692.200000000134,0.0,0.0,870.9916509665836,0.6803,0.119,0,0.7137,195.5231,166.3114,155.5105,192.4788,179.926,157.2221,143.42,192.5453,163.558,35670394577611730000,42770257287304232,3556724955390540.5,17696025633710821000,983112535206156800,5274859369325445,219785807055226.88,17969094084531585000,22688250106731800,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,858,29140.2903,2.8101,10931.3585,1.0504,16001.9038,1.5376,10864,10370,95.4529,4.4551,0,0.092,494,484,0,10,0,352,342,78,78,10434,9950,1787.0,486.0,1787.0,7227.050000000137,0.0,0.0,827.3236636747688,0.787,0.1411,0.0009,0.8225,196.556,167.0136,156.1961,193.5161,180.9633,156.1215,142.3194,193.5744,164.2395,45248430221092930000,50276033578992144,4164988054224312.5,22470211102192250000,1248345061232902910,4094015504192278.5,170583979341344.94,22774125103396483000,26543269351277952,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,924,35989.3353,3.2312,11946.2697,1.0673,22567.9229,2.0163,11710,11138,95.1153,4.8591,0,0.0256,572,569,0,3,0,124,123,84,82,11502,10933,1158.0,124.0,1158.0,2735.24999999999,0.0,0.0,1019.5785837651123,0.7066,0.0076,0.0004,0.7385,190.9832,161.1335,150.2984,187.947,175.3942,155.4354,141.6333,187.9964,158.3397,12540780453598353000,12982174382606992,1071129181209288.8,6232975580466503700,346276421137027970,3495748695473026,145656195644709.4,6304309124436376600,6822845372766641,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,990,40892.5423,3.4529,11761.155,0.9881,27294.9549,2.2931,12518,11843,94.6078,5.3203,0,0.0719,675,666,0,9,0,136,132,127,126,12255,11585,1603.0,136.0,1603.0,2748.4500000000007,0.0,0.0,1020.5930546891244,0.6802,0.0047,0,0.709,190.7863,160.6496,149.8113,187.7273,175.1745,156.7622,142.9601,187.8209,157.8645,11984910999027310000,11613285851770650,957490692580275.6,5925510639822503900,329195035545694660,4744871933927484,197702997246978.5,6054655487270880300,6115813623505940,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,66,2543.9492,3.3429,333.8041,0.3941,14.2723,0.0169,848,761,89.7406,10.1415,0,0.1179,87,86,0,1,0,465,409,254,231,129,121,1557.0,465.0,1557.0,3807.500000000029,0.0,0.0,933.1009850778638,0.0299,0,0.0185,0.0422,192.1505,171.8162,162.8716,188.1305,175.5777,179.3221,165.52,189.5666,171.3711,16407637727159030000,151922571547768800,19371473113528960,6502006322155520000,361222573453084420,855477178839812860,35644882451658868,9050154226163697700,137123548881268144,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,132,4992.8067,3.3087,773.8522,0.4667,24.009,0.0145,1682,1509,89.7146,10.1665,0,0.1189,173,171,0,2,0,825,724,422,372,435,413,2932.0,827.0,2932.0,7645.350000000213,0.0,0.0,872.1358467322135,0.0797,0.0005,0.0333,0.0989,194.0047,171.5992,161.7516,190.1926,177.6399,178.7165,164.9144,191.4452,170.2395,25146032220814100000,144517426556402880,14967876321913154,10453484657368715000,580749147631595260,744133283617015810,31005553484042324,13948414279828370000,105669805150214912,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,198,7588.032,3.331,1331.2236,0.5366,37.4952,0.0151,2528,2278,90.1108,9.6123,0,0.2769,250,243,0,7,0,1122,988,557,499,849,791,4290.0,1141.0,4290.0,12818.2499999999,0.0,0.0,855.3329521107192,0.1234,0,0.0617,0.1421,196.0638,172.2616,162.048,192.2066,179.6539,182.1013,168.2992,193.4549,170.4882,40399442327312840000,168331009697136832,16025165540385896,16621295959452402000,923405331080689020,1622305815296753150,67596075637364712,22155840552563687000,111898184608907520,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,264,9724.6306,3.2211,1559.4991,0.4744,41.3672,0.0126,3374,3019,89.4784,10.3438,0,0.1778,355,349,0,6,0,1388,1199,653,564,1333,1256,5621.0,1402.0,5621.0,12193.29999999985,0.0,0.0,861.3460112409658,0.0887,0.01,0.041,0.0984,194.8159,169.9587,159.5422,190.9922,178.4395,179.4885,165.6864,192.2673,168.0512,30310474276516774000,99053837504956784,8999546994215194,12566705360956047000,698150297830891520,888890801939489410,37037116747478728,16854878113621240000,63844235278868336,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,330,12060.2173,3.2084,2136.096,0.5204,55.5353,0.0135,4186,3759,89.7993,10.0812,0,0.1194,427,422,0,5,0,1512,1329,770,661,1904,1769,6837.0,1540.0,6837.0,16219.299999999595,0.0,0.0,867.2100731070199,0.1442,0,0.0493,0.159,195.5973,169.8918,159.3845,191.7315,179.1788,180.3682,166.5661,193.0745,167.8893,36285006135272014000,97540339073311872,8678547269856975,14898786678293303000,827710371016294660,1088481714676663420,45353404778194312,20297737742302050000,61508296188794088,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,396,13706.299,3.0581,2427.3219,0.4942,67.0404,0.0136,5036,4482,88.9992,10.5242,0,0.4766,554,530,0,24,0,1735,1494,858,735,2443,2253,7932.0,1753.0,7932.0,15522.699999999628,0.0,0.0,864.807448861394,0.1276,0.0005,0.0498,0.1381,194.989,168.5742,157.9889,190.915,178.3623,179.1039,165.3017,192.6443,166.6674,31542670024536560000,72015228366521824,6293429773451029,12345387274216407000,685854848567578110,813551618500589700,33897984104191236,18383731131819563000,46423563464190816,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,462,16660.6125,3.1602,3412.1074,0.5961,77.3859,0.0135,5840,5272,90.274,9.589,0,0.137,568,560,0,8,0,1866,1619,909,788,3065,2865,9128.0,1916.0,9128.0,24764.699999998033,0.0,0.0,860.4284493339086,0.1901,0,0.0779,0.2033,195.9184,168.8941,158.2602,192.0519,179.4992,180.137,166.3349,193.4238,166.7774,39069307754466300000,77518467766798224,6699126844044291,16039431160068720000,891079508892706690,1032045094916478460,43001878954853272,21997831499481104000,47614353894980744,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,528,18594.8347,3.0868,3660.9593,0.5567,92.5272,0.0141,6718,6024,89.6695,10.0327,0,0.2977,694,674,0,20,0,2056,1772,973,832,3689,3420,10374.0,2126.0,10374.0,23570.39999999779,0.0,0.0,859.5219594463437,0.1929,0.0362,0.0656,0.204,195.5428,167.984,157.2827,191.5377,178.9849,179.7047,165.9026,193.1492,165.9228,35832428254225440000,62863909217939368,5348921966595826,14248402961333527000,791577942296307070,934259600987917060,38927483374496544,20649765691903996000,39109404719515144,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,594,21175.7881,3.1479,4333.5525,0.5908,377.3064,0.0514,7522,6727,89.431,10.3829,0,0.1861,795,781,0,14,0,2099,1807,1038,910,4385,4010,11578.0,2177.0,11578.0,27242.349999997106,0.0,0.0,865.8681247077702,0.2289,0.0017,0.0899,0.2415,195.9368,167.9022,157.181,191.9565,179.4037,179.7922,165.9901,193.5394,165.8016,39235476139720720000,61691000219686664,5225126666629474,15690811260793029000,871711736710723840,953272596636163580,39719691526506816,22591392282291530000,38032646939884736,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,660,24691.2331,3.3049,4913.1664,0.6078,1283.3472,0.1588,8344,7471,89.5374,10.163,0,0.2996,873,848,0,25,0,2227,1946,1068,926,5049,4599,12814.0,2368.0,12814.0,33684.1499999965,0.0,0.0,870.597649154948,0.2444,0.019,0.0971,0.2559,195.7216,167.2583,156.5194,191.7454,179.1926,180.9215,167.1193,193.2544,165.059,37339007259178620000,53189469030168976,4486782895839777,14946365261041424000,830353625613412480,1236363127323342590,51515130305139272,21156278870813856000,32054967986081600,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,726,28685.5073,3.5253,5238.1901,0.5963,3573.6788,0.4068,9210,8137,88.3496,11.3464,0,0.304,1073,1045,0,28,0,2226,1904,1109,938,5875,5295,13829.0,2394.0,13829.0,31895.199999995617,0.0,0.0,873.9967860925973,0.2837,0.0662,0.0918,0.2954,195.4921,166.6385,155.8608,191.657,179.1043,178.4529,164.6507,193.0257,164.4163,35416897207816122000,46115751572677240,3855529850622264.5,14645510105864983000,813639450325832320,700301444744163460,29179226864340144,20071085657206977000,27646123494775448,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,792,33271.1557,3.8531,5639.7312,0.5993,7210.0018,0.7661,10048,8635,85.9375,13.8137,0,0.2488,1413,1388,0,25,0,2452,1982,1126,906,6470,5747,14762.0,2575.0,14762.0,32100.749999995132,0.0,0.0,872.2890955260916,0.2805,0.0275,0.071,0.2926,195.4759,166.2643,155.462,191.5534,179.0007,179.0536,165.2514,193.0494,164.0621,35285163292784714000,42308349271924120,3517261093778380.5,14300151914845022000,794452884158056830,804185284776145410,33507720199006060,20180826093163545000,25480841026721648,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,858,40862.0198,4.3684,6172.9483,0.6086,12189.4407,1.2018,10890,9354,85.8953,13.7557,0,0.3489,1536,1498,0,38,0,2512,2045,1184,978,7194,6331,16102.0,2714.0,16102.0,37355.7999999969,0.0,0.0,873.2155040466612,0.3095,0.1717,0.1729,0.3163,195.4465,165.904,155.0858,191.4158,178.863,178.6861,164.8839,193.1077,163.7729,35046725292816777000,38940805880907528,3225356643918348.5,13854014471950719000,769667470663928830,738934345712849660,30788931071368736,20453776475153207000,23838900320691384,0,0,0,-1.0,[],[]
ALL,WEIGHT_GREEDY,924,50520.2973,4.9617,6644.0471,0.6074,18800.0759,1.7188,11698,10182,87.0405,12.5406,0,0.4189,1516,1467,0,49,0,2398,1985,1203,1010,8097,7187,17463.0,2603.0,17463.0,39011.54999999768,0.0,0.0,892.2805932045416,0.2824,0.0327,0.1071,0.2918,195.0908,165.241,154.4167,191.1196,178.5669,178.7478,164.9457,192.6952,163.0385,32290535970029280000,33427055869595528,2764837397896162.5,12940813592240953000,718934088457830780,749509111998014340,31229546333250596,18600213265790317000,20130100937002508,0,0,0,-1.0,[],[]
