Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,DDLDO,66,1722.0289,2.0848,767.841,0.9012,175.6885,0.2062,852,826,96.9484,3.0516,0,0,26,26,0,0,0,12,10,242,223,598,593,544.0,12.0,544.0,222.20000000000076,0.0,0.0,1014.2745098039214,0.4541,0,0,0.743,170.3073,149.9731,141.0029,154.6339,142.0812,158.1322,144.3301,169.9088,151.7134,107333065619027536,993824681657662.4,125977776548154.39,2906650829662449.5,161480601647913.88,6504659290215572,271027470425648.84,97921755499149520,1483662962108326,0,0,0,-1.0,[],[]
ALL,DDLDO,132,3493.6451,2.1686,1148.2707,0.6831,303.0433,0.1803,1688,1611,95.4384,4.3246,0,0.237,77,73,0,4,0,106,105,540,481,1042,1025,1413.0,106.0,1413.0,601.350000000005,0.0,0.0,988.9124793583392,0.4405,0,0,0.5807,179.5706,157.1651,147.3072,166.9137,154.361,163.4225,149.6204,179.2155,158.0098,905861113062105220,5206098350931639,537922276165145.6,49132529435795256,2729584968655292,21991415189951312,916308966247971.4,834737168436358660,6323766427548172,0,0,0,-1.0,[],[]
ALL,DDLDO,198,4973.5734,2.0819,2263.856,0.8962,495.9211,0.1963,2532,2389,94.3523,5.5687,0,0.079,143,141,0,2,0,33,25,558,466,1941,1898,1734.0,33.0,1734.0,800.599999999998,0.0,0.0,993.774086889658,0.5686,0,0,0.6892,176.9135,153.1114,142.8823,161.5161,148.9634,163.4028,149.6007,176.5823,153.6157,491302442290769410,2047093509544872.5,194190688652478.03,14177886196872650,787660344270702.8,21891949781269520,912164574219563.4,455232606312627260,2299154577336501.5,0,0,0,-1.0,[],[]
ALL,DDLDO,264,6584.2941,2.0679,2558.6204,0.7663,640.2762,0.1918,3356,3184,94.8749,4.9166,0,0.2086,172,165,0,7,0,534,419,478,476,2344,2289,2419.0,534.0,2419.0,1056.3999999999849,0.0,0.0,939.3313879359347,0.5263,0,0,0.6101,184.6067,159.7495,149.3576,173.7012,161.1485,163.6317,149.8296,184.2011,159.9851,2888490765262191600,9439512304778404,862493510081275.5,234486442384813984,13027024576934110,23076336992692956,961514041362206.5,2630927985884684800,9965636310169260,0,0,0,-1.0,[],[]
ALL,DDLDO,330,8447.8923,2.1441,4027.1258,0.9648,936.7399,0.2244,4190,3940,94.0334,5.895,0,0.0716,250,247,0,3,0,16,15,856,703,3318,3222,2768.0,16.0,2768.0,1194.0499999999695,0.0,0.0,990.4462427745664,0.72,0,0,0.8117,177.0728,151.3674,140.8538,157.7693,145.2166,164.4909,150.6888,176.772,151.5868,509658060180865090,1370048548873293.2,121723921705484.86,5983206226512540,332400345917363.3,28124746294083752,1171864428920156.2,475550107660268800,1441060932303844.8,0,0,0,-1.0,[],[]
ALL,DDLDO,396,10285.801,2.1287,4239.7769,0.8495,1149.6621,0.2303,5022,4832,96.2166,3.644,0,0.1394,190,183,0,7,0,252,234,1272,1143,3498,3455,3309.0,252.0,3309.0,1337.4499999999487,0.0,0.0,952.4561520209762,0.7204,0,0,0.7968,180.8087,154.3939,143.806,168.528,155.9753,163.5922,149.7901,180.4554,154.4784,1204665540384510720,2750377946083358,240212470664907.4,71253206632930072,3958511479607226,22867394687546000,952808111981083.4,1110544939064034560,2804406411777865,0,0,0,-1.0,[],[]
ALL,DDLDO,462,11802.3509,2.1178,4940.4666,0.8498,1222.6606,0.2103,5854,5573,95.1999,4.6976,0,0.1025,281,275,0,6,0,246,225,1493,1300,4115,4048,3988.0,250.0,3988.0,2381.2499999999422,0.0,0.0,940.4942717617574,0.6565,0.0033,0.0058,0.7158,185.339,158.3147,147.6689,180.4067,167.854,171.9249,158.1228,183.3547,156.7083,3419010791560748000,6783751570557040,584646168187542.4,1098165811156342270,61009211730907904,155771876146370656,6490494839432111,2165073104258035200,4686305420471938,0,0,0,-1.0,[],[]
ALL,DDLDO,528,13872.9501,2.1485,6035.8764,0.9068,1558.94,0.2342,6714,6458,96.1871,3.7534,0,0.0596,256,252,0,4,0,332,328,1720,1493,4662,4637,4257.0,332.0,4257.0,1831.3499999999017,0.0,0.0,933.0685548732076,0.7451,0,0,0.8043,181.2121,153.6533,142.9449,169.5378,156.985,165.0879,151.2857,180.7909,153.5646,1321934049565939970,2319182543098140.5,197009545389856.94,89903558694707216,4994642149705956,32268969733072288,1344540405544678.8,1199761521138160380,2272275608216213,0,0,0,-1.0,[],[]
ALL,DDLDO,594,15659.1138,2.1698,7278.6861,0.9752,1836.4546,0.246,7538,7217,95.7416,4.1656,0,0.0929,321,314,0,7,0,350,332,1672,1474,5516,5411,4565.0,350.0,4565.0,2281.0499999999197,0.0,0.0,935.1046403176971,0.728,0.0017,0.0017,0.7793,181.629,153.5944,142.8604,169.3736,156.8209,165.1914,151.3893,181.2564,153.5186,1455112602886922240,2287912897620947,193216385989499.7,86568530217751904,4809362789875106,33047464487753908,1376977686989746.2,1335496608181416450,2248310788184202.8,0,0,0,-1.0,[],[]
ALL,DDLDO,660,17859.7891,2.2932,7571.1514,0.9262,3090.3481,0.3781,8346,7788,93.3142,6.6379,0,0.0479,558,554,0,4,0,1368,991,1024,1023,5954,5774,5431.0,1368.0,5431.0,2490.8499999999462,0.0,0.0,858.6117501264403,0.7078,0.005,0,0.7527,187.2359,158.7725,148.0232,176.0546,163.5019,162.9931,149.191,186.874,158.6786,5291611145763375100,7537907615047543,634333630515868.5,403146791499953730,22397043972219652,19920999784082600,830041657670108.4,4868543354479338500,7376580840120210,0,0,0,-1.0,[],[]
