Orchestration algorithm,Edge devices count,Average ETE delay (s),Average execution delay (s),Average energy consumption (W/Data center),Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(mobility)(%),Total tasks executed (Cloud),Total tasks executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Cloud),Tasks successfully executed (Edge),Tasks successfully executed (Mist)
DDLDO,66,2.0848,0.9012,993824681657662.4,96.9484,3.0516,0,12,242,598,10,223,593
DDLDO,132,2.1686,0.6831,5206098350931639,95.4384,4.3246,0.237,106,540,1042,105,481,1025
DDLDO,198,2.0819,0.8962,2047093509544872.5,94.3523,5.5687,0.079,33,558,1941,25,466,1898
DDLDO,264,2.0679,0.7663,9439512304778404,94.8749,4.9166,0.2086,534,478,2344,419,476,2289
DDLDO,330,2.1441,0.9648,1370048548873293.2,94.0334,5.895,0.0716,16,856,3318,15,703,3222
DDLDO,396,2.1287,0.8495,2750377946083358,96.2166,3.644,0.1394,252,1272,3498,234,1143,3455
DDLDO,462,2.1178,0.8498,6783751570557040,95.1999,4.6976,0.1025,246,1493,4115,225,1300,4048
DDLDO,528,2.1485,0.9068,2319182543098140.5,96.1871,3.7534,0.0596,332,1720,4662,328,1493,4637
DDLDO,594,2.1698,0.9752,2287912897620947,95.7416,4.1656,0.0929,350,1672,5516,332,1474,5411
DDLDO,660,2.2932,0.9262,7537907615047543,93.3142,6.6379,0.0479,1368,1024,5954,991,1023,5774
DDLDO,726,2.7326,0.9614,7967665007862864,92.4249,7.4663,0.1088,1470,1256,6462,1042,1252,6198
DDLDO,792,3.1565,1.0617,5611324751960032,91.0366,8.854,0.1094,1274,1198,7580,874,1195,7082
DDLDO,858,3.482,1.012,509240593533006.4,91.3812,8.4715,0.1473,4,2138,8718,2,1705,8217
DDLDO,924,3.9126,0.9007,573663913820702.4,91.0276,8.8787,0.0937,30,2324,9382,12,1876,8795
DDLDO,990,4.5071,0.936,7100483168595787,90.6215,9.2826,0.0959,1822,1500,9196,1313,1495,8536
TASK_CLF_Q_LEARNING,66,1.1208,0.8432,9887354803987818,100,0,0,8,14,822,8,14,822
TASK_CLF_Q_LEARNING,132,1.3367,1.0222,14578188365090484,99.9402,0.0598,0,24,22,1626,24,22,1625
TASK_CLF_Q_LEARNING,198,1.2608,0.9714,9233316901087766,99.8814,0.1186,0,23,18,2489,23,18,2486
TASK_CLF_Q_LEARNING,264,1.365,1.0298,10716559895590470,99.9107,0.0893,0,36,32,3290,36,32,3287
TASK_CLF_Q_LEARNING,330,1.3569,1.0626,10385577102768668,99.8079,0.1681,0.024,36,36,4092,36,35,4085
TASK_CLF_Q_LEARNING,396,1.3051,0.9834,10625101861492898,99.8206,0.1794,0,44,56,4916,44,56,4907
TASK_CLF_Q_LEARNING,462,1.2121,0.9135,11578742948912356,99.7273,0.2556,0.017,64,57,5747,64,57,5731
TASK_CLF_Q_LEARNING,528,1.3205,1.0088,14289644177168304,99.7014,0.2986,0,81,56,6561,81,56,6541
TASK_CLF_Q_LEARNING,594,1.4467,1.0845,16311778976224662,99.5478,0.4256,0.0266,104,65,7349,103,64,7317
TASK_CLF_Q_LEARNING,660,1.6039,1.0978,9649177217448642,98.0585,1.9175,0.024,76,80,8188,76,79,8027
TASK_CLF_Q_LEARNING,726,1.7601,0.9412,30117172616165728,96.539,3.4175,0.0435,184,107,8897,182,107,8581
TASK_CLF_Q_LEARNING,792,2.4482,1.0726,42770257287304232,95.6938,4.2464,0.0598,326,147,9559,321,147,9132
TASK_CLF_Q_LEARNING,858,2.8101,1.0504,50276033578992144,95.4529,4.4551,0.092,352,78,10434,342,78,9950
TASK_CLF_Q_LEARNING,924,3.2312,1.0673,12982174382606992,95.1153,4.8591,0.0256,124,84,11502,123,82,10933
TASK_CLF_Q_LEARNING,990,3.4529,0.9881,11613285851770650,94.6078,5.3203,0.0719,136,127,12255,132,126,11585
WEIGHT_GREEDY,66,3.3429,0.3941,151922571547768800,89.7406,10.1415,0.1179,465,254,129,409,231,121
WEIGHT_GREEDY,132,3.3087,0.4667,144517426556402880,89.7146,10.1665,0.1189,825,422,435,724,372,413
WEIGHT_GREEDY,198,3.331,0.5366,168331009697136832,90.1108,9.6123,0.2769,1122,557,849,988,499,791
WEIGHT_GREEDY,264,3.2211,0.4744,99053837504956784,89.4784,10.3438,0.1778,1388,653,1333,1199,564,1256
WEIGHT_GREEDY,330,3.2084,0.5204,97540339073311872,89.7993,10.0812,0.1194,1512,770,1904,1329,661,1769
WEIGHT_GREEDY,396,3.0581,0.4942,72015228366521824,88.9992,10.5242,0.4766,1735,858,2443,1494,735,2253
WEIGHT_GREEDY,462,3.1602,0.5961,77518467766798224,90.274,9.589,0.137,1866,909,3065,1619,788,2865
WEIGHT_GREEDY,528,3.0868,0.5567,62863909217939368,89.6695,10.0327,0.2977,2056,973,3689,1772,832,3420
WEIGHT_GREEDY,594,3.1479,0.5908,61691000219686664,89.431,10.3829,0.1861,2099,1038,4385,1807,910,4010
WEIGHT_GREEDY,660,3.3049,0.6078,53189469030168976,89.5374,10.163,0.2996,2227,1068,5049,1946,926,4599
WEIGHT_GREEDY,726,3.5253,0.5963,46115751572677240,88.3496,11.3464,0.304,2226,1109,5875,1904,938,5295
WEIGHT_GREEDY,792,3.8531,0.5993,42308349271924120,85.9375,13.8137,0.2488,2452,1126,6470,1982,906,5747
WEIGHT_GREEDY,858,4.3684,0.6086,38940805880907528,85.8953,13.7557,0.3489,2512,1184,7194,2045,978,6331
WEIGHT_GREEDY,924,4.9617,0.6074,33427055869595528,87.0405,12.5406,0.4189,2398,1203,8097,1985,1010,7187
WEIGHT_GREEDY,990,5.4714,0.6245,35107650286410304,87.0648,12.48,0.4551,2676,1177,8671,2248,977,7679
ROUND_ROBIN,66,3.4076,0.3437,131971506405076688,85.1415,14.6226,0.2358,497,193,158,425,159,138
