Orchestration algorithm,Edge devices count,Average ETE delay (s),Average execution delay (s),Average energy consumption (W/Data center),Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(mobility)(%),Total tasks executed (Cloud),Total tasks executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Cloud),Tasks successfully executed (Edge),Tasks successfully executed (Mist)
ROUND_ROBIN,132,3.6866,0.5147,216828160516878368,86.8949,12.8099,0.2952,800,366,528,690,312,470
ROUND_ROBIN,198,3.8754,0.6429,240784988213838944,86.0143,13.4707,0.5151,1080,454,990,938,395,838
ROUND_ROBIN,264,3.9135,0.6652,249000577761111008,85.9654,13.6472,0.3874,1300,497,1559,1127,433,1325
ROUND_ROBIN,330,3.9388,0.7364,223988851350410528,84.1388,15.5263,0.3349,1514,576,2090,1294,485,1738
ROUND_ROBIN,396,4.031,0.7217,216563272304653600,86.9479,12.7736,0.2786,1595,661,2770,1392,573,2405
ROUND_ROBIN,462,4.0587,0.7646,240434874963930880,85.3233,14.3346,0.3421,1828,672,3346,1573,580,2835
ROUND_ROBIN,528,4.1982,0.8404,224626442631738048,86.795,12.9215,0.2835,1779,710,4213,1567,610,3640
ROUND_ROBIN,594,4.1525,0.7934,188723154241853824,86.9848,12.6828,0.3324,1996,768,4758,1766,671,4106
ROUND_ROBIN,660,4.2203,0.7783,184367646272611552,83.8965,15.7081,0.3954,2001,768,5577,1742,670,4590
ROUND_ROBIN,726,4.7435,0.8707,196424146620758496,84.476,15.166,0.358,2126,768,6324,1879,656,5252
ROUND_ROBIN,792,5.0423,0.8136,159494007859473216,83.2901,16.1316,0.5783,2117,796,7117,1803,677,5874
ROUND_ROBIN,858,5.7207,0.9331,189765818676204896,83.9558,15.4922,0.552,2277,864,7729,1947,728,6451
ROUND_ROBIN,924,6.0837,0.8463,162869084674863808,82.5153,17.0501,0.4346,2398,864,8474,2006,704,6974
ROUND_ROBIN,990,6.6894,0.9294,167305934173603744,82.5323,16.8529,0.6147,2358,864,9304,1960,755,7623
TRADE_OFF,66,3.6413,0.4111,411712837233683260,91.5294,8.3529,0.1176,571,238,41,516,221,41
TRADE_OFF,132,3.6985,0.3899,368051544563638530,88.5119,11.25,0.2381,1034,480,166,917,422,148
TRADE_OFF,198,3.8211,0.4596,473408486513411260,89.9921,9.8892,0.1187,1440,705,383,1292,641,342
TRADE_OFF,264,3.7764,0.425,378330224862628420,88.3817,11.3811,0.2371,1864,875,635,1651,784,547
TRADE_OFF,330,3.787,0.4499,325541567489062780,86.697,13.1352,0.1678,2126,1056,990,1853,913,851
TRADE_OFF,396,3.9795,0.5565,418281995372128130,88.5028,11.2391,0.2581,2483,1164,1389,2202,1029,1226
TRADE_OFF,462,3.8662,0.4603,324401154535944900,87.5128,12.2313,0.2559,2626,1341,1895,2305,1180,1645
TRADE_OFF,528,3.9145,0.5351,339859523876372930,86.6388,12.9585,0.4026,3034,1450,2222,2651,1254,1905
TRADE_OFF,594,4.0092,0.5594,316082589117071810,87.1357,12.5464,0.318,3184,1546,2818,2797,1330,2450
TRADE_OFF,660,4.1255,0.558,307513123421214530,85.8305,13.8942,0.2753,3456,1642,3258,2946,1397,2829
TRADE_OFF,726,4.4593,0.5958,326368973322326720,84.0495,15.6141,0.3364,3624,1740,3852,3087,1462,3197
TRADE_OFF,792,4.9406,0.589,285349317081028096,84.1145,15.5166,0.369,3759,1834,4435,3169,1559,3707
TRADE_OFF,858,5.5038,0.623,310181382175963780,85.2314,14.1991,0.5694,4032,1873,4983,3450,1602,4228
TRADE_OFF,924,5.9825,0.6348,301083360595670980,83.6288,15.8002,0.571,4248,2030,5456,3546,1727,4540
TRADE_OFF,990,6.4193,0.6452,296851624246404350,83.3679,15.9055,0.7266,4320,2116,6088,3578,1768,5095
TRADI_POLLING,66,3.4857,0.485,140547159313146656,86.8235,12.9412,0.2353,380,232,238,323,201,214
TRADI_POLLING,132,3.8713,0.7172,224527011408120832,85.6043,14.0403,0.3555,578,511,599,488,435,522
TRADI_POLLING,198,3.813,0.6562,234721021542305056,86.3133,13.4098,0.2769,715,695,1118,625,605,952
TRADI_POLLING,264,3.9822,0.7291,218435625440068640,85.398,14.4225,0.1795,862,870,1610,728,757,1369
TRADI_POLLING,330,4.0666,0.7507,186031647556391104,87.512,12.201,0.2871,896,926,2358,781,818,2059
TRADI_POLLING,396,4.057,0.8258,178839541346076352,84.2063,15.5357,0.2579,1034,1032,2974,883,879,2482
TRADI_POLLING,462,4.1866,0.8846,162665021591980064,86.2722,13.4038,0.324,1085,1098,3681,937,941,3181
TRADI_POLLING,528,4.261,0.9352,166000570493437120,86.1111,13.4558,0.4331,1202,1177,4317,1070,1038,3658
TRADI_POLLING,594,4.349,0.9979,168001612635535264,85.4089,14.2459,0.3452,1316,1172,5044,1147,1023,4263
TRADI_POLLING,660,4.4412,0.9646,163371714078051648,84.8144,14.8862,0.2994,1392,1271,5687,1211,1058,4813
TRADI_POLLING,726,4.7877,1.0296,155378282180842944,82.1398,17.513,0.3472,1340,1505,6371,1121,1269,5180
TRADI_POLLING,792,5.2192,1.0095,141874509340843536,81.7095,17.902,0.3885,1420,1493,7125,1195,1269,5738
TRADI_POLLING,858,5.8286,1.059,156768598621750016,82.6591,16.9456,0.3954,1408,1503,7965,1235,1236,6519
TRADI_POLLING,924,6.3328,1.072,154897975636876032,81.7275,17.7268,0.5457,1466,1580,8682,1213,1313,7059
TRADI_POLLING,990,6.8675,1.1137,161331747159476640,82.3487,17.0286,0.6227,1492,1659,9375,1268,1382,7665
RANDOM_VM,66,3.5898,0.4564,562679369554850240,88,12,0,617,163,70,540,145,63
RANDOM_VM,132,3.6838,0.4097,335701911991469440,88.6962,10.8852,0.4187,1135,315,222,1012,278,193
RANDOM_VM,198,3.7687,0.4911,517218960167962750,87.3028,12.5,0.1972,1611,410,515,1409,366,439
RANDOM_VM,264,3.7854,0.4949,313588311194123140,87.1871,12.4851,0.3278,2002,521,833,1756,454,716
RANDOM_VM,330,3.8668,0.5516,353264949321376260,87.0867,12.7695,0.1437,2381,617,1176,2068,542,1025
RANDOM_VM,396,3.9505,0.6009,312683278377622850,87.5995,12.0621,0.3384,2679,671,1674,2375,587,1439
RANDOM_VM,462,3.906,0.5737,276592707734632480,86.5687,13.2092,0.2221,2859,787,2206,2498,682,1886
RANDOM_VM,528,4.051,0.715,352211714675057280,85.5204,14.1664,0.3132,3200,881,2625,2771,774,2190
RANDOM_VM,594,4.1269,0.7516,368925661263583300,85.832,13.9421,0.2259,3504,844,3176,3051,713,2694
RANDOM_VM,660,4.1669,0.6959,272584804262614304,85.2294,14.3045,0.4661,3605,972,3791,3099,842,3191
RANDOM_VM,726,4.5725,0.749,336717858809738560,84.2202,15.5517,0.2281,3850,1004,4354,3282,868,3605
RANDOM_VM,792,5.0466,0.7767,302536876652044160,83.6353,15.9765,0.3882,4114,1041,4891,3455,874,4073
RANDOM_VM,858,5.5811,0.8056,303962731118055360,82.6287,16.9577,0.4136,4319,1080,5481,3609,886,4495
RANDOM_VM,924,6.0973,0.7802,268131197631164320,83.6778,15.8524,0.4698,4334,1151,6223,3698,944,5155
RANDOM_VM,990,6.587,0.8228,266677447789345184,83.0457,16.4509,0.5034,4530,1168,6818,3783,993,5618
